company_name,rank,visitor_reviews,blog_reviews,rank_std_60d,unified_tier
경승현치과 교정과 치과의원 동탄,64,308,434,6.978538528947162,Tier 4
동탄탑치과의원,65,349,16,5.4924190177613585,Tier 4
닥터스마일치과의원,66,257,7,5.576737397439476,Tier 4
동탄뉴욕치과의원,67,367,23,6.242328625334196,Tier 4
캠프나인치과의원,68,91,7,12.596295751794127,Tier 4
미소자인교정치과의원,69,226,1042,12.127104628338403,Tier 4
이플러스구강악안면외과치과의원,70,109,5,15.292699783447873,Tier 4
아름다운치과의원,71,344,4,5.391351098441527,Tier 4
올치과의원,72,175,153,6.462713568360172,Tier 4
더튼튼치과의원,73,112,487,5.202563470700448,Tier 4
오산본플란트치과의원,74,1737,2795,22.606783642673868,Tier 3
레이크치과의원,75,203,2,8.035338615557322,Tier 4
동탄호수참조은치과의원,76,177,154,12.231107881136525,Tier 4
동탄아는치과의원,77,170,284,5.316640543300503,Tier 4
나노치과의원,78,518,62,4.806245936279165,Tier 4
더사랑치과의원,79,356,128,5.468089245796925,Tier 4
오아시스치과의원,80,328,395,6.735478206235,Tier 4
스마트치과의원,81,145,2,5.727128425310541,Tier 4
당신을위한치과의원,82,166,2,7.277820186475252,Tier 4
서울리온치과의원,83,45,1,10.073066398404544,Tier 4
동탄온가족치과의원,84,331,59,2.857738033247041,Tier 4
동탄 이편한 치과의원,85,259,8,13.18585100274786,Tier 4
동탄안심치과의원,86,258,497,11.331372379372237,Tier 4
그랑플란트치과의원,87,215,55,9.24481836850604,Tier 4
동탄가온치과의원,88,371,50,10.911767348448494,Tier 4
병점홍치과의원,89,197,2,6.345602151621755,Tier 4
이가편한치과의원,90,158,7,6.675827039900501,Tier 4
더바른치과의원,91,98,2,10.481730137084556,Tier 4
동탄아이비치과의원,92,312,1,6.186005711819757,Tier 4
동탄퍼스트치과의원,93,173,0,6.337717780610515,Tier 4
동탄연세미소치과의원,94,481,4,5.6213877290220795,Tier 4
연세다건치과의원,95,297,1,7.7631608682718065,Tier 4
서울두리치과의원,96,245,2,8.041558721209878,Tier 4
베스트치과의원,97,224,1,9.252026804976301,Tier 4
서울웰치과의원,98,291,4,4.445971959725643,Tier 4
이미지치과의원,99,157,254,12.078907235342111,Tier 4
아이끌림치과의원,100,552,73,6.928203230275509,Tier 4
동탄바른이치과의원,101,44,89,7.935153852740768,Tier 4
동탄다정치과의원,102,194,41,8.270429251254132,Tier 4
서울삼성치과교정과치과의원,103,155,21,7.874007874011811,Tier 4
예인치과의원,104,384,4,8.612007121842542,Tier 4
동탄서울리더스치과의원,105,74,4,7.366591251499341,Tier 4
이플치과의원,106,142,3,9.5236547606473,Tier 4
동탄에이스치과의원,107,456,53,6.088240030309798,Tier 4
동탄예치과의원,108,436,372,13.332916660156048,Tier 4
굿모닝치과의원,109,75,8,13.272779161376363,Tier 4
킴스치과의원,110,345,507,4.167333280008534,Tier 4
맑은린치과의원,111,162,3,6.625707509390978,Tier 4
병점수치과의원,112,95,329,13.485794995722967,Tier 4
박영준치과의원,113,108,274,7.1670542530852,Tier 4
가나팀치과의원,114,141,3,4.708148963941846,Tier 4
행복한치과의원,115,132,3,5.07608773236502,Tier 4
연세위더스치과의원,116,169,3,6.625707509390978,Tier 4
정현치과의원,117,139,1,5.501514942874069,Tier 4
서연치과의원,118,127,2,8.264381404557753,Tier 4
닥터김산치과의원,119,445,126,6.833739825307956,Tier 4
서울팀치과의원,120,288,0,9.011104260855047,Tier 4
동탄본치과의원,121,149,7,10.98483803552272,Tier 4
365스마일치과,122,33,22,6.997618642557383,Tier 4
하이치과의원,123,57,9,4.262237284181473,Tier 4
서울이로움치과의원,124,134,40,4.966554808583779,Tier 4
우리치과의원,125,268,1,6.3140055960275046,Tier 4
동탄휴치과의원,126,75,1,5.192943930629973,Tier 4
해든치과의원,127,86,4,9.453394452082629,Tier 4
하이웰치과의원,128,438,92,26.67895550179329,Tier 3
연세에이스치과의원,129,109,10,4.833908011812663,Tier 4
화이트덴트치과의원,130,75,1,3.3316662497915344,Tier 5
동탄미래치과의원,131,105,5,4.082482904638629,Tier 4
서울메모리치과의원,132,35,4,12.355835328567089,Tier 4
병점뉴욕치과의원,133,98,1,7.250287350627331,Tier 4
예손치과의원,134,100,4,12.828354012369108,Tier 4
동탄굿모닝치과의원,135,169,3,3.2659863237109037,Tier 5
아가페치과의원,136,94,1,4.8989794855663575,Tier 4
미프라임치과의원,137,72,5,3.9707262140150967,Tier 5
동탄샘치과의원,138,38,3,2.7325202042558923,Tier 5
병점베스트치과의원,139,44,2,4.750438576243953,Tier 4
상아치과의원,140,122,5,5.319774431308153,Tier 4
서울유보라치과의원,141,258,5,3.188521078284835,Tier 5
메디피움치과의원,142,2,0,7.574078601827861,Tier 4
조앤최서울치과의원,143,54,0,4.135214625627064,Tier 5
동탄드림치과의원,144,28,0,1.870828693386971,Tier 5
닥터황치과의원,145,16,0,10.381072520056229,Tier 4
권치과의원,146,60,2,1.471960144387977,Tier 5
해맑은치과의원,147,104,3,4.750438576243948,Tier 5
연세스마일치과의원,148,228,1,0.9831920802501685,Tier 5
서울늘솜치과의원,149,550,549,3.2093613071762404,Tier 5
조남영치과의원,150,2,0,2.588435821108957,Tier 5
의료법인삼성의료재단강북삼성기흥치과의원,151,55,2,1.6020819787597218,Tier 5
프라임치과의원,152,82,3,1.8973665961010284,Tier 5
삼성디에스알치과의원,153,27,0,1.8348478592697224,Tier 5
365라온누리치과의원,154,731,1597,5.946988033169959,Tier 5
새로미치과의원,155,24,0,3.0983866769659327,Tier 5
동탄치과의원,156,103,7,2.5099800796022245,Tier 5
삼성의료재단 강북삼성화성치과의원,157,14,0,0.5477225575051635,Tier 5
정치과의원,158,1,1,0.40824829046386535,Tier 5
세교하늘치과의원,159,364,6,0.0,Tier 5
세교아이들치과의원,160,429,10,2.250925735484544,Tier 5
새이로치과의원,161,156,47,0.8164965809277319,Tier 5
한스치과의원,162,169,2,0.7527726527090822,Tier 5
메트로치과의원,163,205,3,1.2110601416389968,Tier 5
박하치과의원,164,438,6,0.5163977794943239,Tier 5
바른이치과의원,165,83,2,0.8944271909999151,Tier 5
탑치과의원,167,105,47,1.9663841605003527,Tier 5
오르다치과의원,168,642,204,2.0000000000000004,Tier 5
세교플러스치과의원,169,152,0,1.0488088481701556,Tier 5
오산디에스치과의원,170,566,104,2.2583179581272397,Tier 5
세교미소치과의원,171,192,3,3.6560452221856687,Tier 5
더365바른치과의원,172,90,401,4.6224091842530175,Tier 5
나무가있는치과의원,173,22,1,1.5055453054181591,Tier 5
삼성플란트치과의원,174,196,2,1.51657508881031,Tier 5
서천프라임치과의원,175,188,8,1.169045194450008,Tier 5
세교엘리트치과의원,176,205,20,1.7888543819998302,Tier 5
스마일치과,177,15,4,3.3862466931200834,Tier 5
서울버팀치과의원 오산,178,540,4479,0.7527726527090839,Tier 5
그리던소아치과의원,179,454,104,0.6324555320336726,Tier 5
신영통튼튼이치과의원,180,477,73,0.9831920802501759,Tier 5
오색치과의원,181,211,1380,1.366260102127949,Tier 5
세교퍼스트치과의원,182,60,0,1.414213562373096,Tier 5
햇살좋은치과의원,183,498,1809,2.1369760566432747,Tier 5
삼성서울치과의원,184,1587,1642,1.4719601443879746,Tier 5
유앤이치과의원 오산점,185,442,2103,2.3380903889000226,Tier 5
스마일치과의원,186,70,2,1.2649110640673495,Tier 5
신영통연세치과의원,187,663,19,0.6324555320336759,Tier 5
서울수려한치과의원,188,639,3141,1.940790217067955,Tier 5
미서울치과의원,189,63,3,0.5477225575051635,Tier 5
곰플란트치과의원,190,391,963,3.9707262140150914,Tier 5
서울샤치과교정과치과의원,191,541,134,0.8366600265340763,Tier 5
튼튼치과의원,192,20,6,1.5055453054181616,Tier 5
행복을주는치과의원,193,158,212,1.4719601443879722,Tier 5
베일러연합치과의원,194,226,11,0.9831920802501795,Tier 5
와이치과의원,195,178,26,0.9831920802501699,Tier 5
그린치과의원,196,70,2,1.366260102127949,Tier 5
이포유치과의원 오산점,197,667,1349,3.0331501776206173,Tier 5
네이버치과의원,198,168,1,2.316606713852534,Tier 5
탑실피오레치과의원,199,41,0,1.6733200530681538,Tier 5
더라인치과의원,200,84,247,1.6020819787597251,Tier 5
서울아름다운치과의원,201,165,58,2.136976056643285,Tier 5
늘푸른치과의원,202,40,2,1.7224014243685106,Tier 5
공룡치과의원 오산시청,203,509,82,1.0327955589886464,Tier 5
애플치과의원,204,545,20,1.471960144387971,Tier 5
평화치과의원,205,252,3,1.2649110640673495,Tier 5
서울햇빛어린이치과의원,206,532,132,0.8944271909999191,Tier 5
타이거치과의원 오산점,207,357,3151,4.070217029430575,Tier 5
이조은치과의원,208,63,1,1.722401424368509,Tier 5
압구정스마일치과의원,209,223,135,0.983192080250176,Tier 5
미플란트치과의원,211,29,1,1.9663841605003531,Tier 5
키즈웰치과의원 오산점,212,102,3,1.0327955589886484,Tier 5
킹콩치과의원,213,688,1793,1.4142135623730951,Tier 5
연세아트치과의원,214,59,0,1.5491933384829635,Tier 5
이젤치과의원,215,365,56,0.5163977794943247,Tier 5
이소치과의원,216,150,16,0.8366600265340747,Tier 5
열린치과의원,217,38,2,0.8366600265340747,Tier 5
연세밀레니엄치과의원 오산점,218,164,1469,1.966384160500354,Tier 5
예스치과의원,219,18,3,0.40824829046385963,Tier 5
미래치과의원 오산,220,152,6,1.5055453054181671,Tier 5
백치과의원,221,31,8,0.8164965809277285,Tier 5
한빛치과의원,222,34,7,1.0488088481701556,Tier 5
한길치과의원,223,52,3,1.048808848170153,Tier 5
미소드림치과의원,224,26,3,1.329160135825129,Tier 5
마이홈치과의원,225,239,150,4.445971959725642,Tier 5
박치과의원,226,42,2,0.5477225575051635,Tier 5
유림치과병원,227,218,655,0.8366600265340763,Tier 5
연세치과의원,228,214,6,1.8618986725025244,Tier 5
오산시민치과의원,229,78,1,1.6020819787597214,Tier 5
함께하는치과의원,230,9,1,2.2803508501982748,Tier 5
김도완치과의원,231,69,4,1.673320053068152,Tier 5
아이숲치과의원,232,253,13,1.8973665961010262,Tier 5
연세탑치과의원,233,68,0,2.6076809620810573,Tier 5
유노치과의원,234,51,0,0.7527726527090763,Tier 5
연세삼성치과의원,235,279,4,2.136976056643279,Tier 5
다원플란트치과의원,236,98,14,1.0327955589886442,Tier 5
원치과의원,238,0,0,0.7527726527090822,Tier 5
하나치과의원,239,47,2,1.211060141638999,Tier 5
세교이편한치과의원,240,214,0,7.756717518813399,Tier 5
오늘은치과의원,241,343,587,0.0,Tier 5
로덴부부치과의원,242,257,19,0.0,Tier 5
명인치과의원,243,159,3,0.0,Tier 5
서울글로벌치과의원,244,86,215,0.0,Tier 5
연세세브란스치과의원 수원,245,310,44,0.40824829046385963,Tier 5
좋은하루치과의원,246,167,0,0.40824829046385963,Tier 5
이치과의원,247,4,2,0.0,Tier 5
하얀미소치과의원,248,125,4,0.0,Tier 5
오산미소치과의원,249,85,1,0.0,Tier 5
한마음치과의원,250,38,4,0.0,Tier 5
