raw_clinicname,representing_clinicname
"인계동 웃는얼굴치과","웃는얼굴치과의원 수원점"
"원데이치과","원데이치과의원"
"원데이","원데이치과의원"
"강남 ㅇㄷㅇ치과","원데이치과의원"
"강남 원데이","원데이치과의원"
"원데이 치과","원데이치과의원"
"유노부부치과","유노부부치과의원"
"유노치과","유노치과의원"
"유*치과","유디치과의원 동탄점"
"유디치과","유디치과의원 동탄점"
"유디치과의원 동탄점","유디치과의원 동탄점"
"유림치과","유림치과병원"
"이루다치과","이루다치과의원"
"이루*소아치과","이루다치과의원"
"이루다","이루다치과의원"
"이루다소아치과","이루다치과의원"
"이루다 소아치과","이루다치과의원"
"이미지치과","이미지치과의원"
"이젤","이젤치과의원"
"2젤","이젤치과의원"
"이젤치과","이젤치과의원"
"이즈치과","이즈치과의원"
"ㅇㅈ치과","이즈치과의원"
"동탄역 이즈치과","이즈치과의원"
"ㅇㅈ","이즈치과의원"
"ㅇㅈ 치과","이즈치과의원"
"동탄이즈치과","이즈치과의원"
"이즈치과의원","이즈치과의원"
"동탄ㅇㅈ","이즈치과의원"
"동탄ㅇㅈ치과","이즈치과의원"
"동탄역이주치과","이즈치과의원"
"이즈치고","이즈치과의원"
"동탄 이즈치과","이즈치과의원"
"이편한연세치과의원","이편한연세치과의원"
"착한미소치과","착한미소치과"
"채*치과","채움치과의원 동탄"
"채움치과","채움치과의원 동탄"
"채움치과의원 동탄","채움치과의원 동탄"
"채움치과의원","채움치과의원 동탄"
"ㅊㅇ치과","채움치과의원 동탄"
"채움","채움치과의원 동탄"
"동탄역채움치과","채움치과의원 동탄"
"코코교정치과","코코치과교정과치과의원"
"코코치과","코코치과교정과치과의원"
"코코","코코치과교정과치과의원"
"코코교정","코코치과교정과치과의원"
"코코 교정치과","코코치과교정과치과의원"
"동탄 코코치과","코코치과교정과치과의원"
"코X치과","코코치과교정과치과의원"
"키즈엔젤치과","키즈엔젤치과의원"
"킴스치과","킴스치과의원"
"킴스","킴스치과의원"
"플란치과","플란치과의원 경기 동탄점"
"ㅍㄹ치과","플란치과의원 경기 동탄점"
"플란치과 경기동탄점","플란치과의원 경기 동탄점"
"플란","플란치과의원 경기 동탄점"
"플란치과 경기 동탄점","플란치과의원 경기 동탄점"
"플란치과 동탄점","플란치과의원 경기 동탄점"
"플란치과의원 경기 동탄점","플란치과의원 경기 동탄점"
"목동플란치과","플란치과의원 경기 동탄점"
"ㅍㄹ치과 동탄점","플란치과의원 경기 동탄점"
"플란지과","플란치과의원 경기 동탄점"
"동탄 플란치과","플란치과의원 경기 동탄점"
"동탄플란치과","플란치과의원 경기 동탄점"
"플란치과의원 경기동탄점","플란치과의원 경기 동탄점"
"플X치과","플란치과의원 경기 동탄점"
"하이웰","하이엘치과의원"
"ㅎㅇ치과","하이치과의원"
"한림대학교동탄성심병원","한림대학교동탄성심병원"
"한림대","한림대학교동탄성심병원"
"동탄한림대","한림대학교동탄성심병원"
"한림대 치과","한림대학교동탄성심병원"
"한림","한림대학교동탄성심병원"
"한림대 동탄 ㅈㅈㄷ 교수님","한림대학교동탄성심병원"
"동탄한림대 치과","한림대학교동탄성심병원"
"한숲치과","한숲치과의원"
"행복을심는ㅊㄱ의원","행복을심는치과의원"
"행복을심는치과","행복을심는치과의원"
"행복한치과","행복한치과의원"
"행복한 치과","행복한치과의원"
"행복한치과의원","행복한치과의원"
