searchquery,date,searchinflow
앞니 벌어짐,2025-03-01,64
앞니 벌어짐,2025-04-01,61
앞니 벌어짐,2025-05-01,69
앞니 벌어짐,2025-06-01,65
송곳니 레진,2024-06-01,16
송곳니 레진,2024-07-01,16
송곳니 레진,2024-08-01,15
송곳니 레진,2024-09-01,7
송곳니 레진,2024-10-01,7
송곳니 레진,2024-11-01,9
송곳니 레진,2024-12-01,23
송곳니 레진,2025-01-01,18
송곳니 레진,2025-02-01,20
송곳니 레진,2025-03-01,13
송곳니 레진,2025-04-01,11
송곳니 레진,2025-05-01,5
송곳니 레진,2025-06-01,4
pulpotomy,2024-06-01,7
pulpotomy,2024-07-01,4
pulpotomy,2024-08-01,4
pulpotomy,2024-09-01,1
pulpotomy,2024-10-01,1
pulpotomy,2024-11-01,1
pulpotomy,2024-12-01,3
pulpotomy,2025-01-01,2
pulpotomy,2025-02-01,2
pulpotomy,2025-03-01,0
pulpotomy,2025-04-01,0
pulpotomy,2025-05-01,1
pulpotomy,2025-06-01,0
동탄내이튼치과,2024-06-01,5
동탄내이튼치과,2024-07-01,1
동탄내이튼치과,2024-08-01,2
동탄내이튼치과,2024-09-01,1
동탄내이튼치과,2024-10-01,1
동탄내이튼치과,2024-11-01,0
동탄내이튼치과,2024-12-01,8
동탄내이튼치과,2025-01-01,2
동탄내이튼치과,2025-02-01,2
동탄내이튼치과,2025-03-01,0
동탄내이튼치과,2025-04-01,0
동탄내이튼치과,2025-05-01,0
동탄내이튼치과,2025-06-01,2
재신경치료 기간,2024-06-01,7
재신경치료 기간,2024-07-01,10
재신경치료 기간,2024-08-01,3
재신경치료 기간,2024-09-01,0
재신경치료 기간,2024-10-01,1
재신경치료 기간,2024-11-01,1
재신경치료 기간,2024-12-01,10
재신경치료 기간,2025-01-01,13
재신경치료 기간,2025-02-01,12
재신경치료 기간,2025-03-01,0
재신경치료 기간,2025-04-01,0
재신경치료 기간,2025-05-01,0
재신경치료 기간,2025-06-01,0
치아 옆면 충치,2024-06-01,3
치아 옆면 충치,2024-07-01,1
치아 옆면 충치,2024-08-01,0
치아 옆면 충치,2024-09-01,1
치아 옆면 충치,2024-10-01,11
치아 옆면 충치,2024-11-01,12
치아 옆면 충치,2024-12-01,1
치아 옆면 충치,2025-01-01,0
치아 옆면 충치,2025-02-01,0
치아 옆면 충치,2025-03-01,30
치아 옆면 충치,2025-04-01,1
치아 옆면 충치,2025-05-01,2
치아 옆면 충치,2025-06-01,3
신경치료 후 염증,2024-06-01,0
신경치료 후 염증,2024-07-01,0
신경치료 후 염증,2024-08-01,0
신경치료 후 염증,2024-09-01,0
신경치료 후 염증,2024-10-01,2
신경치료 후 염증,2024-11-01,0
신경치료 후 염증,2024-12-01,1
신경치료 후 염증,2025-01-01,0
신경치료 후 염증,2025-02-01,83
신경치료 후 염증,2025-03-01,19
신경치료 후 염증,2025-04-01,0
신경치료 후 염증,2025-05-01,0
신경치료 후 염증,2025-06-01,0
어금니 신경치료 기간,2024-06-01,5
어금니 신경치료 기간,2024-07-01,0
어금니 신경치료 기간,2024-08-01,0
어금니 신경치료 기간,2024-09-01,0
어금니 신경치료 기간,2024-10-01,0
어금니 신경치료 기간,2024-11-01,0
어금니 신경치료 기간,2024-12-01,0
어금니 신경치료 기간,2025-01-01,0
어금니 신경치료 기간,2025-02-01,0
어금니 신경치료 기간,2025-03-01,0
어금니 신경치료 기간,2025-04-01,0
어금니 신경치료 기간,2025-05-01,0
어금니 신경치료 기간,2025-06-01,0
intrusion,2024-06-01,6
intrusion,2024-07-01,2
intrusion,2024-08-01,1
intrusion,2024-09-01,5
intrusion,2024-10-01,5
intrusion,2024-11-01,3
intrusion,2024-12-01,7
intrusion,2025-01-01,5
intrusion,2025-02-01,2
intrusion,2025-03-01,5
intrusion,2025-04-01,1
intrusion,2025-05-01,3
intrusion,2025-06-01,4
치수괴사,2024-06-01,4
치수괴사,2024-07-01,2
치수괴사,2024-08-01,0
치수괴사,2024-09-01,0
치수괴사,2024-10-01,0
치수괴사,2024-11-01,22
치수괴사,2024-12-01,32
치수괴사,2025-01-01,0
치수괴사,2025-02-01,0
치수괴사,2025-03-01,0
치수괴사,2025-04-01,1
치수괴사,2025-05-01,0
치수괴사,2025-06-01,0
동탄 보존과,2024-06-01,4
동탄 보존과,2024-07-01,14
동탄 보존과,2024-08-01,6
동탄 보존과,2024-09-01,3
동탄 보존과,2024-10-01,5
동탄 보존과,2024-11-01,3
동탄 보존과,2024-12-01,0
동탄 보존과,2025-01-01,0
동탄 보존과,2025-02-01,1
동탄 보존과,2025-03-01,2
동탄 보존과,2025-04-01,1
동탄 보존과,2025-05-01,4
동탄 보존과,2025-06-01,3
동탄 재신경치료,2024-06-01,2
동탄 재신경치료,2024-07-01,9
동탄 재신경치료,2024-08-01,11
동탄 재신경치료,2024-09-01,5
동탄 재신경치료,2024-10-01,2
동탄 재신경치료,2024-11-01,2
동탄 재신경치료,2024-12-01,4
동탄 재신경치료,2025-01-01,1
동탄 재신경치료,2025-02-01,3
동탄 재신경치료,2025-03-01,6
동탄 재신경치료,2025-04-01,1
동탄 재신경치료,2025-05-01,11
동탄 재신경치료,2025-06-01,1
어른 유치,2024-06-01,9
어른 유치,2024-07-01,9
어른 유치,2024-08-01,6
어른 유치,2024-09-01,9
어른 유치,2024-10-01,11
어른 유치,2024-11-01,4
어른 유치,2024-12-01,5
어른 유치,2025-01-01,1
어른 유치,2025-02-01,4
어른 유치,2025-03-01,5
어른 유치,2025-04-01,2
어른 유치,2025-05-01,3
어른 유치,2025-06-01,5
치수절단술,2024-06-01,1
치수절단술,2024-07-01,0
치수절단술,2024-08-01,0
치수절단술,2024-09-01,0
치수절단술,2024-10-01,0
치수절단술,2024-11-01,0
치수절단술,2024-12-01,0
치수절단술,2025-01-01,0
치수절단술,2025-02-01,2
치수절단술,2025-03-01,0
치수절단술,2025-04-01,0
치수절단술,2025-05-01,0
치수절단술,2025-06-01,0
어금니 사이 충치,2024-06-01,0
어금니 사이 충치,2024-07-01,0
어금니 사이 충치,2024-08-01,0
어금니 사이 충치,2024-09-01,0
어금니 사이 충치,2024-10-01,0
어금니 사이 충치,2024-11-01,0
어금니 사이 충치,2024-12-01,5
어금니 사이 충치,2025-01-01,23
어금니 사이 충치,2025-02-01,8
어금니 사이 충치,2025-03-01,2
어금니 사이 충치,2025-04-01,0
어금니 사이 충치,2025-05-01,0
어금니 사이 충치,2025-06-01,0
어금니 레진 깨짐,2024-06-01,0
어금니 레진 깨짐,2024-07-01,0
어금니 레진 깨짐,2024-08-01,0
어금니 레진 깨짐,2024-09-01,0
어금니 레진 깨짐,2024-10-01,0
어금니 레진 깨짐,2024-11-01,0
어금니 레진 깨짐,2024-12-01,58
어금니 레진 깨짐,2025-01-01,9
어금니 레진 깨짐,2025-02-01,3
어금니 레진 깨짐,2025-03-01,0
어금니 레진 깨짐,2025-04-01,1
어금니 레진 깨짐,2025-05-01,1
어금니 레진 깨짐,2025-06-01,0
깨진 이,2024-06-01,0
깨진 이,2024-07-01,17
깨진 이,2024-08-01,24
깨진 이,2024-09-01,21
깨진 이,2024-10-01,9
깨진 이,2024-11-01,0
깨진 이,2024-12-01,0
깨진 이,2025-01-01,0
깨진 이,2025-02-01,0
깨진 이,2025-03-01,0
깨진 이,2025-04-01,0
깨진 이,2025-05-01,0
깨진 이,2025-06-01,0
이가 까맣게,2024-06-01,2
이가 까맣게,2024-07-01,4
이가 까맣게,2024-08-01,1
이가 까맣게,2024-09-01,5
이가 까맣게,2024-10-01,2
이가 까맣게,2024-11-01,1
이가 까맣게,2024-12-01,1
이가 까맣게,2025-01-01,5
이가 까맣게,2025-02-01,6
이가 까맣게,2025-03-01,4
이가 까맣게,2025-04-01,2
이가 까맣게,2025-05-01,0
이가 까맣게,2025-06-01,2
동탄 실활치미백,2024-06-01,4
동탄 실활치미백,2024-07-01,3
동탄 실활치미백,2024-08-01,5
동탄 실활치미백,2024-09-01,7
동탄 실활치미백,2024-10-01,2
동탄 실활치미백,2024-11-01,1
동탄 실활치미백,2024-12-01,5
동탄 실활치미백,2025-01-01,0
동탄 실활치미백,2025-02-01,0
동탄 실활치미백,2025-03-01,2
동탄 실활치미백,2025-04-01,1
동탄 실활치미백,2025-05-01,3
동탄 실활치미백,2025-06-01,4
신경치료 후 잇몸 변색,2024-06-01,0
신경치료 후 잇몸 변색,2024-07-01,0
신경치료 후 잇몸 변색,2024-08-01,0
신경치료 후 잇몸 변색,2024-09-01,0
신경치료 후 잇몸 변색,2024-10-01,0
신경치료 후 잇몸 변색,2024-11-01,2
신경치료 후 잇몸 변색,2024-12-01,4
신경치료 후 잇몸 변색,2025-01-01,1
신경치료 후 잇몸 변색,2025-02-01,2
신경치료 후 잇몸 변색,2025-03-01,4
신경치료 후 잇몸 변색,2025-04-01,4
신경치료 후 잇몸 변색,2025-05-01,19
신경치료 후 잇몸 변색,2025-06-01,28
재신경치료,2024-06-01,3
재신경치료,2024-07-01,1
재신경치료,2024-08-01,3
재신경치료,2024-09-01,2
재신경치료,2024-10-01,2
재신경치료,2024-11-01,0
재신경치료,2024-12-01,0
재신경치료,2025-01-01,1
재신경치료,2025-02-01,3
재신경치료,2025-03-01,2
재신경치료,2025-04-01,0
재신경치료,2025-05-01,0
재신경치료,2025-06-01,0
수직치근파절,2024-06-01,3
수직치근파절,2024-07-01,1
수직치근파절,2024-08-01,6
수직치근파절,2024-09-01,1
수직치근파절,2024-10-01,6
수직치근파절,2024-11-01,1
수직치근파절,2024-12-01,1
수직치근파절,2025-01-01,0
수직치근파절,2025-02-01,0
수직치근파절,2025-03-01,0
수직치근파절,2025-04-01,0
수직치근파절,2025-05-01,2
수직치근파절,2025-06-01,4
치아 브릿지 교체,2024-06-01,0
치아 브릿지 교체,2024-07-01,0
치아 브릿지 교체,2024-08-01,0
치아 브릿지 교체,2024-09-01,0
치아 브릿지 교체,2024-10-01,8
치아 브릿지 교체,2024-11-01,18
치아 브릿지 교체,2024-12-01,3
치아 브릿지 교체,2025-01-01,3
치아 브릿지 교체,2025-02-01,19
치아 브릿지 교체,2025-03-01,1
치아 브릿지 교체,2025-04-01,1
치아 브릿지 교체,2025-05-01,2
치아 브릿지 교체,2025-06-01,0
앞니 잇몸 통증,2024-06-01,0
앞니 잇몸 통증,2024-07-01,0
앞니 잇몸 통증,2024-08-01,0
앞니 잇몸 통증,2024-09-01,0
앞니 잇몸 통증,2024-10-01,0
앞니 잇몸 통증,2024-11-01,0
앞니 잇몸 통증,2024-12-01,3
앞니 잇몸 통증,2025-01-01,21
앞니 잇몸 통증,2025-02-01,23
앞니 잇몸 통증,2025-03-01,6
앞니 잇몸 통증,2025-04-01,0
앞니 잇몸 통증,2025-05-01,0
앞니 잇몸 통증,2025-06-01,0
치근단절제술 통증,2024-06-01,0
치근단절제술 통증,2024-07-01,0
치근단절제술 통증,2024-08-01,0
치근단절제술 통증,2024-09-01,6
치근단절제술 통증,2024-10-01,4
치근단절제술 통증,2024-11-01,1
치근단절제술 통증,2024-12-01,0
치근단절제술 통증,2025-01-01,1
치근단절제술 통증,2025-02-01,10
치근단절제술 통증,2025-03-01,13
치근단절제술 통증,2025-04-01,5
치근단절제술 통증,2025-05-01,6
치근단절제술 통증,2025-06-01,2
동탄 보존과 전문의,2024-06-01,2
동탄 보존과 전문의,2024-07-01,0
동탄 보존과 전문의,2024-08-01,1
동탄 보존과 전문의,2024-09-01,0
동탄 보존과 전문의,2024-10-01,3
동탄 보존과 전문의,2024-11-01,3
동탄 보존과 전문의,2024-12-01,1
동탄 보존과 전문의,2025-01-01,2
동탄 보존과 전문의,2025-02-01,2
동탄 보존과 전문의,2025-03-01,3
동탄 보존과 전문의,2025-04-01,3
동탄 보존과 전문의,2025-05-01,0
동탄 보존과 전문의,2025-06-01,0
어금니 금이 간 경우,2024-06-01,0
어금니 금이 간 경우,2024-07-01,0
어금니 금이 간 경우,2024-08-01,0
어금니 금이 간 경우,2024-09-01,0
어금니 금이 간 경우,2024-10-01,0
어금니 금이 간 경우,2024-11-01,0
어금니 금이 간 경우,2024-12-01,0
어금니 금이 간 경우,2025-01-01,1
어금니 금이 간 경우,2025-02-01,0
어금니 금이 간 경우,2025-03-01,0
어금니 금이 간 경우,2025-04-01,0
어금니 금이 간 경우,2025-05-01,0
어금니 금이 간 경우,2025-06-01,0
급성치수염,2024-06-01,0
급성치수염,2024-07-01,0
급성치수염,2024-08-01,0
급성치수염,2024-09-01,0
급성치수염,2024-10-01,0
급성치수염,2024-11-01,0
급성치수염,2024-12-01,0
급성치수염,2025-01-01,0
급성치수염,2025-02-01,0
급성치수염,2025-03-01,0
급성치수염,2025-04-01,0
급성치수염,2025-05-01,17
급성치수염,2025-06-01,26
아랫니 브릿지,2024-06-01,0
아랫니 브릿지,2024-07-01,0
아랫니 브릿지,2024-08-01,0
아랫니 브릿지,2024-09-01,0
아랫니 브릿지,2024-10-01,0
아랫니 브릿지,2024-11-01,2
아랫니 브릿지,2024-12-01,10
아랫니 브릿지,2025-01-01,16
아랫니 브릿지,2025-02-01,10
아랫니 브릿지,2025-03-01,1
아랫니 브릿지,2025-04-01,2
아랫니 브릿지,2025-05-01,1
아랫니 브릿지,2025-06-01,5
치근단형성술,2024-06-01,0
치근단형성술,2024-07-01,0
치근단형성술,2024-08-01,0
치근단형성술,2024-09-01,0
치근단형성술,2024-10-01,0
치근단형성술,2024-11-01,0
치근단형성술,2024-12-01,0
치근단형성술,2025-01-01,0
치근단형성술,2025-02-01,1
치근단형성술,2025-03-01,0
치근단형성술,2025-04-01,21
치근단형성술,2025-05-01,8
치근단형성술,2025-06-01,16
치과 엔도,2024-06-01,0
치과 엔도,2024-07-01,0
치과 엔도,2024-08-01,0
치과 엔도,2024-09-01,0
치과 엔도,2024-10-01,5
치과 엔도,2024-11-01,7
치과 엔도,2024-12-01,0
치과 엔도,2025-01-01,0
치과 엔도,2025-02-01,12
치과 엔도,2025-03-01,12
치과 엔도,2025-04-01,8
치과 엔도,2025-05-01,1
치과 엔도,2025-06-01,0
내려간 잇몸,2024-06-01,0
내려간 잇몸,2024-07-01,0
내려간 잇몸,2024-08-01,0
내려간 잇몸,2024-09-01,0
내려간 잇몸,2024-10-01,0
내려간 잇몸,2024-11-01,0
내려간 잇몸,2024-12-01,0
내려간 잇몸,2025-01-01,13
내려간 잇몸,2025-02-01,22
내려간 잇몸,2025-03-01,5
내려간 잇몸,2025-04-01,2
내려간 잇몸,2025-05-01,3
내려간 잇몸,2025-06-01,0
동탄 앞니 레진,2024-06-01,0
동탄 앞니 레진,2024-07-01,3
동탄 앞니 레진,2024-08-01,1
동탄 앞니 레진,2024-09-01,0
동탄 앞니 레진,2024-10-01,2
동탄 앞니 레진,2024-11-01,1
동탄 앞니 레진,2024-12-01,1
동탄 앞니 레진,2025-01-01,2
동탄 앞니 레진,2025-02-01,4
동탄 앞니 레진,2025-03-01,1
동탄 앞니 레진,2025-04-01,0
동탄 앞니 레진,2025-05-01,6
동탄 앞니 레진,2025-06-01,4
치과 치질,2024-06-01,7
치과 치질,2024-07-01,4
치과 치질,2024-08-01,4
치과 치질,2024-09-01,1
치과 치질,2024-10-01,0
치과 치질,2024-11-01,1
치과 치질,2024-12-01,0
치과 치질,2025-01-01,1
치과 치질,2025-02-01,0
치과 치질,2025-03-01,0
치과 치질,2025-04-01,0
치과 치질,2025-05-01,0
치과 치질,2025-06-01,1
어린이 실란트,2024-06-01,0
어린이 실란트,2024-07-01,0
어린이 실란트,2024-08-01,0
어린이 실란트,2024-09-01,0
어린이 실란트,2024-10-01,0
어린이 실란트,2024-11-01,0
어린이 실란트,2024-12-01,0
어린이 실란트,2025-01-01,0
어린이 실란트,2025-02-01,0
어린이 실란트,2025-03-01,0
어린이 실란트,2025-04-01,0
어린이 실란트,2025-05-01,0
어린이 실란트,2025-06-01,0
동탄 보존치과,2024-06-01,0
동탄 보존치과,2024-07-01,1
동탄 보존치과,2024-08-01,3
동탄 보존치과,2024-09-01,8
동탄 보존치과,2024-10-01,3
동탄 보존치과,2024-11-01,0
동탄 보존치과,2024-12-01,0
동탄 보존치과,2025-01-01,0
동탄 보존치과,2025-02-01,0
동탄 보존치과,2025-03-01,2
동탄 보존치과,2025-04-01,1
동탄 보존치과,2025-05-01,1
동탄 보존치과,2025-06-01,4
송곳니 충치 레진,2024-06-01,1
송곳니 충치 레진,2024-07-01,1
송곳니 충치 레진,2024-08-01,3
송곳니 충치 레진,2024-09-01,1
송곳니 충치 레진,2024-10-01,4
송곳니 충치 레진,2024-11-01,1
송곳니 충치 레진,2024-12-01,0
송곳니 충치 레진,2025-01-01,1
송곳니 충치 레진,2025-02-01,1
송곳니 충치 레진,2025-03-01,2
송곳니 충치 레진,2025-04-01,3
송곳니 충치 레진,2025-05-01,8
송곳니 충치 레진,2025-06-01,3
실활치미백,2024-06-01,1
실활치미백,2024-07-01,0
실활치미백,2024-08-01,0
실활치미백,2024-09-01,0
실활치미백,2024-10-01,0
실활치미백,2024-11-01,2
실활치미백,2024-12-01,2
실활치미백,2025-01-01,2
실활치미백,2025-02-01,0
실활치미백,2025-03-01,1
실활치미백,2025-04-01,1
실활치미백,2025-05-01,0
실활치미백,2025-06-01,0
앞니벌어짐,2024-06-01,0
앞니벌어짐,2024-07-01,0
앞니벌어짐,2024-08-01,0
앞니벌어짐,2024-09-01,0
앞니벌어짐,2024-10-01,0
앞니벌어짐,2024-11-01,0
앞니벌어짐,2024-12-01,0
앞니벌어짐,2025-01-01,0
앞니벌어짐,2025-02-01,4
앞니벌어짐,2025-03-01,6
앞니벌어짐,2025-04-01,14
앞니벌어짐,2025-05-01,8
앞니벌어짐,2025-06-01,3
다이아스테마,2024-06-01,0
다이아스테마,2024-07-01,0
다이아스테마,2024-08-01,0
다이아스테마,2024-09-01,2
다이아스테마,2024-10-01,1
다이아스테마,2024-11-01,2
다이아스테마,2024-12-01,1
다이아스테마,2025-01-01,1
다이아스테마,2025-02-01,0
다이아스테마,2025-03-01,5
다이아스테마,2025-04-01,0
다이아스테마,2025-05-01,2
다이아스테마,2025-06-01,2
동탄 미세현미경 치과,2024-06-01,1
동탄 미세현미경 치과,2024-07-01,12
동탄 미세현미경 치과,2024-08-01,3
동탄 미세현미경 치과,2024-09-01,2
동탄 미세현미경 치과,2024-10-01,3
동탄 미세현미경 치과,2024-11-01,0
동탄 미세현미경 치과,2024-12-01,0
동탄 미세현미경 치과,2025-01-01,2
동탄 미세현미경 치과,2025-02-01,0
동탄 미세현미경 치과,2025-03-01,2
동탄 미세현미경 치과,2025-04-01,6
동탄 미세현미경 치과,2025-05-01,17
동탄 미세현미경 치과,2025-06-01,4
오버덴쳐,2024-06-01,0
오버덴쳐,2024-07-01,1
오버덴쳐,2024-08-01,0
오버덴쳐,2024-09-01,0
오버덴쳐,2024-10-01,1
오버덴쳐,2024-11-01,0
오버덴쳐,2024-12-01,0
오버덴쳐,2025-01-01,8
오버덴쳐,2025-02-01,15
오버덴쳐,2025-03-01,7
오버덴쳐,2025-04-01,1
오버덴쳐,2025-05-01,2
오버덴쳐,2025-06-01,0
치수복조술,2024-06-01,0
치수복조술,2024-07-01,0
치수복조술,2024-08-01,0
치수복조술,2024-09-01,0
치수복조술,2024-10-01,0
치수복조술,2024-11-01,0
치수복조술,2024-12-01,0
치수복조술,2025-01-01,16
치수복조술,2025-02-01,7
치수복조술,2025-03-01,6
치수복조술,2025-04-01,2
치수복조술,2025-05-01,0
치수복조술,2025-06-01,0
동탄 치과 미백,2024-06-01,2
동탄 치과 미백,2024-07-01,3
동탄 치과 미백,2024-08-01,0
동탄 치과 미백,2024-09-01,0
동탄 치과 미백,2024-10-01,1
동탄 치과 미백,2024-11-01,0
동탄 치과 미백,2024-12-01,0
동탄 치과 미백,2025-01-01,2
동탄 치과 미백,2025-02-01,2
동탄 치과 미백,2025-03-01,3
동탄 치과 미백,2025-04-01,0
동탄 치과 미백,2025-05-01,0
동탄 치과 미백,2025-06-01,0
교정 치아 변색,2024-06-01,2
교정 치아 변색,2024-07-01,4
교정 치아 변색,2024-08-01,7
교정 치아 변색,2024-09-01,0
교정 치아 변색,2024-10-01,0
교정 치아 변색,2024-11-01,0
교정 치아 변색,2024-12-01,2
교정 치아 변색,2025-01-01,0
교정 치아 변색,2025-02-01,3
교정 치아 변색,2025-03-01,0
교정 치아 변색,2025-04-01,1
교정 치아 변색,2025-05-01,0
교정 치아 변색,2025-06-01,0
아말감 2차충치,2024-06-01,0
아말감 2차충치,2024-07-01,2
아말감 2차충치,2024-08-01,1
아말감 2차충치,2024-09-01,0
아말감 2차충치,2024-10-01,0
아말감 2차충치,2024-11-01,0
아말감 2차충치,2024-12-01,0
아말감 2차충치,2025-01-01,0
아말감 2차충치,2025-02-01,0
아말감 2차충치,2025-03-01,0
아말감 2차충치,2025-04-01,0
아말감 2차충치,2025-05-01,0
아말감 2차충치,2025-06-01,0
동탄 잇몸치료,2024-06-01,0
동탄 잇몸치료,2024-07-01,0
동탄 잇몸치료,2024-08-01,0
동탄 잇몸치료,2024-09-01,0
동탄 잇몸치료,2024-10-01,0
동탄 잇몸치료,2024-11-01,0
동탄 잇몸치료,2024-12-01,0
동탄 잇몸치료,2025-01-01,4
동탄 잇몸치료,2025-02-01,9
동탄 잇몸치료,2025-03-01,3
동탄 잇몸치료,2025-04-01,14
동탄 잇몸치료,2025-05-01,3
동탄 잇몸치료,2025-06-01,0
함입,2024-06-01,3
함입,2024-07-01,0
함입,2024-08-01,1
함입,2024-09-01,4
함입,2024-10-01,0
함입,2024-11-01,0
함입,2024-12-01,0
함입,2025-01-01,0
함입,2025-02-01,0
함입,2025-03-01,0
함입,2025-04-01,0
함입,2025-05-01,0
함입,2025-06-01,0
재신경치료기간,2024-06-01,0
재신경치료기간,2024-07-01,0
재신경치료기간,2024-08-01,0
재신경치료기간,2024-09-01,0
재신경치료기간,2024-10-01,0
재신경치료기간,2024-11-01,0
재신경치료기간,2024-12-01,2
재신경치료기간,2025-01-01,3
재신경치료기간,2025-02-01,0
재신경치료기간,2025-03-01,0
재신경치료기간,2025-04-01,0
재신경치료기간,2025-05-01,0
재신경치료기간,2025-06-01,0
앞니 끝 깨짐,2024-06-01,0
앞니 끝 깨짐,2024-07-01,0
앞니 끝 깨짐,2024-08-01,0
앞니 끝 깨짐,2024-09-01,0
앞니 끝 깨짐,2024-10-01,0
앞니 끝 깨짐,2024-11-01,4
앞니 끝 깨짐,2024-12-01,3
앞니 끝 깨짐,2025-01-01,3
앞니 끝 깨짐,2025-02-01,9
앞니 끝 깨짐,2025-03-01,7
앞니 끝 깨짐,2025-04-01,3
앞니 끝 깨짐,2025-05-01,0
앞니 끝 깨짐,2025-06-01,0
신경치료 변색,2024-06-01,0
신경치료 변색,2024-07-01,0
신경치료 변색,2024-08-01,0
신경치료 변색,2024-09-01,0
신경치료 변색,2024-10-01,5
신경치료 변색,2024-11-01,11
신경치료 변색,2024-12-01,0
신경치료 변색,2025-01-01,7
신경치료 변색,2025-02-01,4
신경치료 변색,2025-03-01,1
신경치료 변색,2025-04-01,1
신경치료 변색,2025-05-01,0
신경치료 변색,2025-06-01,0
임플란트 픽스쳐 파절,2024-06-01,3
임플란트 픽스쳐 파절,2024-07-01,1
임플란트 픽스쳐 파절,2024-08-01,3
임플란트 픽스쳐 파절,2024-09-01,0
임플란트 픽스쳐 파절,2024-10-01,0
임플란트 픽스쳐 파절,2024-11-01,0
임플란트 픽스쳐 파절,2024-12-01,0
임플란트 픽스쳐 파절,2025-01-01,1
임플란트 픽스쳐 파절,2025-02-01,0
임플란트 픽스쳐 파절,2025-03-01,0
임플란트 픽스쳐 파절,2025-04-01,0
임플란트 픽스쳐 파절,2025-05-01,0
임플란트 픽스쳐 파절,2025-06-01,0
치수염,2024-06-01,0
치수염,2024-07-01,0
치수염,2024-08-01,0
치수염,2024-09-01,0
치수염,2024-10-01,0
치수염,2024-11-01,0
치수염,2024-12-01,0
치수염,2025-01-01,0
치수염,2025-02-01,0
치수염,2025-03-01,0
치수염,2025-04-01,0
치수염,2025-05-01,11
치수염,2025-06-01,16
동탄 치과 보존과,2024-06-01,2
동탄 치과 보존과,2024-07-01,4
동탄 치과 보존과,2024-08-01,1
동탄 치과 보존과,2024-09-01,0
동탄 치과 보존과,2024-10-01,2
동탄 치과 보존과,2024-11-01,2
동탄 치과 보존과,2024-12-01,0
동탄 치과 보존과,2025-01-01,0
동탄 치과 보존과,2025-02-01,0
동탄 치과 보존과,2025-03-01,1
동탄 치과 보존과,2025-04-01,2
동탄 치과 보존과,2025-05-01,1
동탄 치과 보존과,2025-06-01,1
동탄 보존과 치과,2024-06-01,3
동탄 보존과 치과,2024-07-01,2
동탄 보존과 치과,2024-08-01,3
동탄 보존과 치과,2024-09-01,1
동탄 보존과 치과,2024-10-01,0
동탄 보존과 치과,2024-11-01,2
동탄 보존과 치과,2024-12-01,1
동탄 보존과 치과,2025-01-01,0
동탄 보존과 치과,2025-02-01,1
동탄 보존과 치과,2025-03-01,0
동탄 보존과 치과,2025-04-01,0
동탄 보존과 치과,2025-05-01,0
동탄 보존과 치과,2025-06-01,1
대학병원 재신경치료,2024-06-01,0
대학병원 재신경치료,2024-07-01,0
대학병원 재신경치료,2024-08-01,0
대학병원 재신경치료,2024-09-01,1
대학병원 재신경치료,2024-10-01,1
대학병원 재신경치료,2024-11-01,0
대학병원 재신경치료,2024-12-01,0
대학병원 재신경치료,2025-01-01,0
대학병원 재신경치료,2025-02-01,0
대학병원 재신경치료,2025-03-01,1
