검색어,월,네이버 전체 검색량,우리 블로그 검색 유입량,검색 점유율,임의검색량설정여부
재신경치료 기간,2024-07,70.0,10,0.14285714285714285,0
재신경치료 기간,2024-08,80.0,3,0.0375,0
재신경치료 기간,2024-09,56.0,0,0.0,0
재신경치료 기간,2024-10,50.0,1,0.02,0
재신경치료 기간,2024-11,60.0,1,0.016666666666666666,0
재신경치료 기간,2024-12,80.0,10,0.125,0
재신경치료 기간,2025-01,78.0,13,0.16666666666666666,0
재신경치료 기간,2025-02,140.0,12,0.08571428571428572,0
재신경치료 기간,2025-03,120.0,0,0.0,0
재신경치료 기간,2025-04,130.0,0,0.0,0
재신경치료 기간,2025-05,120.0,0,0.0,0
재신경치료 기간,2025-06,98.0,0,0.0,0
치아 옆면 충치,2024-06,380.0,3,0.007894736842105263,0
치아 옆면 충치,2024-07,350.0,1,0.002857142857142857,0
치아 옆면 충치,2024-08,360.0,0,0.0,0
치아 옆면 충치,2024-09,350.0,1,0.002857142857142857,0
치아 옆면 충치,2024-10,350.0,11,0.03142857142857143,0
치아 옆면 충치,2024-11,310.0,12,0.03870967741935484,0
치아 옆면 충치,2024-12,320.0,1,0.003125,0
치아 옆면 충치,2025-01,320.0,0,0.0,0
치아 옆면 충치,2025-02,300.0,0,0.0,0
치아 옆면 충치,2025-03,250.0,30,0.12,0
치아 옆면 충치,2025-04,220.0,1,0.004545454545454545,0
치아 옆면 충치,2025-05,250.0,2,0.008,0
치아 옆면 충치,2025-06,240.0,3,0.0125,0
신경치료 후 염증,2024-06,600.0,0,0.0,0
신경치료 후 염증,2024-07,630.0,0,0.0,0
신경치료 후 염증,2024-08,710.0,0,0.0,0
신경치료 후 염증,2024-09,650.0,0,0.0,0
신경치료 후 염증,2024-10,700.0,2,0.002857142857142857,0
신경치료 후 염증,2024-11,640.0,0,0.0,0
신경치료 후 염증,2024-12,580.0,1,0.0017241379310344827,0
신경치료 후 염증,2025-01,530.0,0,0.0,0
신경치료 후 염증,2025-02,610.0,83,0.1360655737704918,0
신경치료 후 염증,2025-03,490.0,19,0.03877551020408163,0
신경치료 후 염증,2025-04,500.0,0,0.0,0
신경치료 후 염증,2025-05,410.0,0,0.0,0
신경치료 후 염증,2025-06,420.0,0,0.0,0
어금니 신경치료 기간,2024-06,350.0,5,0.014285714285714285,0
어금니 신경치료 기간,2024-07,460.0,0,0.0,0
어금니 신경치료 기간,2024-08,250.0,0,0.0,0
어금니 신경치료 기간,2024-09,240.0,0,0.0,0
어금니 신경치료 기간,2024-10,240.0,0,0.0,0
어금니 신경치료 기간,2024-11,410.0,0,0.0,0
어금니 신경치료 기간,2024-12,510.0,0,0.0,0
어금니 신경치료 기간,2025-01,430.0,0,0.0,0
어금니 신경치료 기간,2025-02,420.0,0,0.0,0
어금니 신경치료 기간,2025-03,330.0,0,0.0,0
어금니 신경치료 기간,2025-04,320.0,0,0.0,0
어금니 신경치료 기간,2025-05,300.0,0,0.0,0
어금니 신경치료 기간,2025-06,320.0,0,0.0,0
intrusion,2024-06,2290.0,6,0.0026200873362445414,0
intrusion,2024-07,2380.0,2,0.0008403361344537816,0
intrusion,2024-08,2200.0,1,0.00045454545454545455,0
intrusion,2024-09,1910.0,5,0.002617801047120419,0
intrusion,2024-10,2440.0,5,0.0020491803278688526,0
intrusion,2024-11,2030.0,3,0.001477832512315271,0
intrusion,2024-12,2530.0,7,0.002766798418972332,0
intrusion,2025-01,2110.0,5,0.002369668246445498,0
intrusion,2025-02,1980.0,2,0.00101010101010101,0
intrusion,2025-03,1990.0,5,0.002512562814070352,0
intrusion,2025-04,2020.0,1,0.0004950495049504951,0
intrusion,2025-05,1680.0,3,0.0017857142857142857,0
intrusion,2025-06,1920.0,4,0.0020833333333333333,0
치수괴사,2024-06,450.0,4,0.008888888888888889,0
치수괴사,2024-07,440.0,2,0.004545454545454545,0
치수괴사,2024-08,440.0,0,0.0,0
치수괴사,2024-09,440.0,0,0.0,0
치수괴사,2024-10,440.0,0,0.0,0
치수괴사,2024-11,430.0,22,0.05116279069767442,0
치수괴사,2024-12,410.0,32,0.07804878048780488,0
치수괴사,2025-01,300.0,0,0.0,0
치수괴사,2025-02,370.0,0,0.0,0
치수괴사,2025-03,380.0,0,0.0,0
치수괴사,2025-04,310.0,1,0.0032258064516129032,0
치수괴사,2025-05,260.0,0,0.0,0
치수괴사,2025-06,290.0,0,0.0,0
동탄 보존과,2024-06,5.0,4,0.8,5
동탄 보존과,2024-07,21.0,14,0.6666666666666666,0
동탄 보존과,2024-08,5.0,6,1.2,5
동탄 보존과,2024-09,5.0,3,0.6,5
동탄 보존과,2024-10,12.0,5,0.4166666666666667,0
동탄 보존과,2024-11,18.0,3,0.16666666666666666,0
동탄 보존과,2024-12,13.0,0,0.0,0
동탄 보존과,2025-01,5.0,0,0.0,5
동탄 보존과,2025-02,5.0,1,0.2,5
동탄 보존과,2025-03,15.0,2,0.13333333333333333,0
동탄 보존과,2025-04,14.0,1,0.07142857142857142,0
동탄 보존과,2025-05,12.0,4,0.3333333333333333,0
동탄 보존과,2025-06,13.0,3,0.23076923076923078,0
동탄 재신경치료,2024-06,10.0,2,0.2,0
동탄 재신경치료,2024-07,12.0,9,0.75,0
동탄 재신경치료,2024-08,10.0,11,1.1,0
동탄 재신경치료,2024-09,5.0,5,1.0,5
동탄 재신경치료,2024-10,5.0,2,0.4,5
동탄 재신경치료,2024-11,5.0,2,0.4,5
동탄 재신경치료,2024-12,5.0,4,0.8,5
동탄 재신경치료,2025-01,5.0,1,0.2,5
동탄 재신경치료,2025-02,11.0,3,0.2727272727272727,0
동탄 재신경치료,2025-03,15.0,6,0.4,0
동탄 재신경치료,2025-04,5.0,1,0.2,5
동탄 재신경치료,2025-05,13.0,11,0.8461538461538461,0
동탄 재신경치료,2025-06,10.0,1,0.1,0
어른 유치,2024-06,24.0,9,0.375,0
어른 유치,2024-07,25.0,9,0.36,0
어른 유치,2024-08,12.0,6,0.5,0
어른 유치,2024-09,24.0,9,0.375,0
어른 유치,2024-10,27.0,11,0.4074074074074074,0
어른 유치,2024-11,27.0,4,0.14814814814814814,0
어른 유치,2024-12,14.0,5,0.35714285714285715,0
어른 유치,2025-01,32.0,1,0.03125,0
어른 유치,2025-02,20.0,4,0.2,0
어른 유치,2025-03,15.0,5,0.3333333333333333,0
어른 유치,2025-04,11.0,2,0.18181818181818182,0
어른 유치,2025-05,13.0,3,0.23076923076923078,0
어른 유치,2025-06,13.0,5,0.38461538461538464,0
치수절단술,2024-06,400.0,1,0.0025,0
치수절단술,2024-07,400.0,0,0.0,0
치수절단술,2024-08,310.0,0,0.0,0
치수절단술,2024-09,290.0,0,0.0,0
치수절단술,2024-10,310.0,0,0.0,0
치수절단술,2024-11,310.0,0,0.0,0
치수절단술,2024-12,310.0,0,0.0,0
치수절단술,2025-01,320.0,0,0.0,0
치수절단술,2025-02,300.0,2,0.006666666666666667,0
치수절단술,2025-03,360.0,0,0.0,0
치수절단술,2025-04,330.0,0,0.0,0
치수절단술,2025-05,310.0,0,0.0,0
치수절단술,2025-06,320.0,0,0.0,0
어금니 사이 충치,2024-06,440.0,0,0.0,0
어금니 사이 충치,2024-07,480.0,0,0.0,0
어금니 사이 충치,2024-08,430.0,0,0.0,0
어금니 사이 충치,2024-09,380.0,0,0.0,0
어금니 사이 충치,2024-10,420.0,0,0.0,0
어금니 사이 충치,2024-11,390.0,0,0.0,0
어금니 사이 충치,2024-12,430.0,5,0.011627906976744186,0
어금니 사이 충치,2025-01,410.0,23,0.05609756097560976,0
어금니 사이 충치,2025-02,360.0,8,0.022222222222222223,0
어금니 사이 충치,2025-03,370.0,2,0.005405405405405406,0
어금니 사이 충치,2025-04,210.0,0,0.0,0
어금니 사이 충치,2025-05,270.0,0,0.0,0
어금니 사이 충치,2025-06,240.0,0,0.0,0
어금니 레진 깨짐,2024-06,260.0,0,0.0,0
어금니 레진 깨짐,2024-07,370.0,0,0.0,0
어금니 레진 깨짐,2024-08,410.0,0,0.0,0
어금니 레진 깨짐,2024-09,410.0,0,0.0,0
어금니 레진 깨짐,2024-10,470.0,0,0.0,0
어금니 레진 깨짐,2024-11,460.0,0,0.0,0
어금니 레진 깨짐,2024-12,440.0,58,0.1318181818181818,0
어금니 레진 깨짐,2025-01,440.0,9,0.020454545454545454,0
어금니 레진 깨짐,2025-02,440.0,3,0.006818181818181818,0
어금니 레진 깨짐,2025-03,380.0,0,0.0,0
어금니 레진 깨짐,2025-04,260.0,1,0.0038461538461538464,0
어금니 레진 깨짐,2025-05,200.0,1,0.005,0
어금니 레진 깨짐,2025-06,160.0,0,0.0,0
깨진 이,2024-06,210.0,0,0.0,0
깨진 이,2024-07,240.0,17,0.07083333333333333,0
깨진 이,2024-08,190.0,24,0.12631578947368421,0
깨진 이,2024-09,230.0,21,0.09130434782608696,0
깨진 이,2024-10,220.0,9,0.04090909090909091,0
깨진 이,2024-11,220.0,0,0.0,0
깨진 이,2024-12,230.0,0,0.0,0
깨진 이,2025-01,170.0,0,0.0,0
깨진 이,2025-02,130.0,0,0.0,0
깨진 이,2025-03,118.0,0,0.0,0
깨진 이,2025-04,110.0,0,0.0,0
깨진 이,2025-05,90.0,0,0.0,0
깨진 이,2025-06,96.0,0,0.0,0
이가 까맣게,2024-06,10.0,2,0.2,0
이가 까맣게,2024-07,10.0,4,0.4,0
이가 까맣게,2024-08,26.0,1,0.038461538461538464,0
이가 까맣게,2024-09,12.0,5,0.4166666666666667,0
이가 까맣게,2024-10,11.0,2,0.18181818181818182,0
이가 까맣게,2024-11,11.0,1,0.09090909090909091,0
이가 까맣게,2024-12,10.0,1,0.1,0
이가 까맣게,2025-01,23.0,5,0.21739130434782608,0
이가 까맣게,2025-02,20.0,6,0.3,0
이가 까맣게,2025-03,10.0,4,0.4,0
이가 까맣게,2025-04,5.0,2,0.4,5
이가 까맣게,2025-05,5.0,0,0.0,5
이가 까맣게,2025-06,12.0,2,0.16666666666666666,0
동탄 실활치미백,2024-06,5.0,4,0.8,5
동탄 실활치미백,2024-07,5.0,3,0.6,5
동탄 실활치미백,2024-08,5.0,5,1.0,5
동탄 실활치미백,2024-09,5.0,7,1.4,5
동탄 실활치미백,2024-10,5.0,2,0.4,5
동탄 실활치미백,2024-11,5.0,1,0.2,5
동탄 실활치미백,2024-12,5.0,5,1.0,5
동탄 실활치미백,2025-01,5.0,0,0.0,5
동탄 실활치미백,2025-02,5.0,0,0.0,5
동탄 실활치미백,2025-03,5.0,2,0.4,5
동탄 실활치미백,2025-04,5.0,1,0.2,5
동탄 실활치미백,2025-05,5.0,3,0.6,5
동탄 실활치미백,2025-06,5.0,4,0.8,5
신경치료 후 잇몸 변색,2024-06,11.0,0,0.0,0
신경치료 후 잇몸 변색,2024-07,13.0,0,0.0,0
신경치료 후 잇몸 변색,2024-08,5.0,0,0.0,5
신경치료 후 잇몸 변색,2024-09,5.0,0,0.0,5
신경치료 후 잇몸 변색,2024-10,5.0,0,0.0,5
신경치료 후 잇몸 변색,2024-11,5.0,2,0.4,5
신경치료 후 잇몸 변색,2024-12,5.0,4,0.8,5
신경치료 후 잇몸 변색,2025-01,5.0,1,0.2,5
신경치료 후 잇몸 변색,2025-02,5.0,2,0.4,5
신경치료 후 잇몸 변색,2025-03,12.0,4,0.3333333333333333,0
신경치료 후 잇몸 변색,2025-04,13.0,4,0.3076923076923077,0
신경치료 후 잇몸 변색,2025-05,34.0,19,0.5588235294117647,0
신경치료 후 잇몸 변색,2025-06,36.0,28,0.7777777777777778,0
재신경치료,2024-06,1930.0,3,0.0015544041450777201,0
재신경치료,2024-07,2000.0,1,0.0005,0
재신경치료,2024-08,1950.0,3,0.0015384615384615385,0
재신경치료,2024-09,1790.0,2,0.0011173184357541898,0
재신경치료,2024-10,1830.0,2,0.001092896174863388,0
재신경치료,2024-11,1770.0,0,0.0,0
재신경치료,2024-12,1760.0,0,0.0,0
재신경치료,2025-01,1840.0,1,0.0005434782608695652,0
재신경치료,2025-02,1750.0,3,0.0017142857142857142,0
재신경치료,2025-03,1700.0,2,0.001176470588235294,0
재신경치료,2025-04,1830.0,0,0.0,0
재신경치료,2025-05,1550.0,0,0.0,0
재신경치료,2025-06,1620.0,0,0.0,0
수직치근파절,2024-06,29.0,3,0.10344827586206896,0
수직치근파절,2024-07,18.0,1,0.05555555555555555,0
수직치근파절,2024-08,50.0,6,0.12,0
수직치근파절,2024-09,17.0,1,0.058823529411764705,0
수직치근파절,2024-10,28.0,6,0.21428571428571427,0
수직치근파절,2024-11,20.0,1,0.05,0
수직치근파절,2024-12,30.0,1,0.03333333333333333,0
수직치근파절,2025-01,17.0,0,0.0,0
수직치근파절,2025-02,20.0,0,0.0,0
수직치근파절,2025-03,20.0,0,0.0,0
수직치근파절,2025-04,20.0,0,0.0,0
수직치근파절,2025-05,30.0,2,0.06666666666666667,0
수직치근파절,2025-06,38.0,4,0.10526315789473684,0
치아 브릿지 교체,2024-06,69.0,0,0.0,0
치아 브릿지 교체,2024-07,69.0,0,0.0,0
치아 브릿지 교체,2024-08,38.0,0,0.0,0
치아 브릿지 교체,2024-09,70.0,0,0.0,0
치아 브릿지 교체,2024-10,70.0,8,0.11428571428571428,0
치아 브릿지 교체,2024-11,110.0,18,0.16363636363636364,0
치아 브릿지 교체,2024-12,90.0,3,0.03333333333333333,0
치아 브릿지 교체,2025-01,200.0,3,0.015,0
치아 브릿지 교체,2025-02,330.0,19,0.05757575757575758,0
치아 브릿지 교체,2025-03,320.0,1,0.003125,0
치아 브릿지 교체,2025-04,300.0,1,0.0033333333333333335,0
치아 브릿지 교체,2025-05,220.0,2,0.00909090909090909,0
치아 브릿지 교체,2025-06,170.0,0,0.0,0
앞니 잇몸 통증,2024-06,520.0,0,0.0,0
앞니 잇몸 통증,2024-07,520.0,0,0.0,0
앞니 잇몸 통증,2024-08,480.0,0,0.0,0
앞니 잇몸 통증,2024-09,520.0,0,0.0,0
앞니 잇몸 통증,2024-10,520.0,0,0.0,0
앞니 잇몸 통증,2024-11,500.0,0,0.0,0
앞니 잇몸 통증,2024-12,480.0,3,0.00625,0
앞니 잇몸 통증,2025-01,500.0,21,0.042,0
앞니 잇몸 통증,2025-02,530.0,23,0.04339622641509434,0
앞니 잇몸 통증,2025-03,590.0,6,0.010169491525423728,0
앞니 잇몸 통증,2025-04,540.0,0,0.0,0
앞니 잇몸 통증,2025-05,440.0,0,0.0,0
앞니 잇몸 통증,2025-06,540.0,0,0.0,0
치근단절제술 통증,2024-06,42.0,0,0.0,0
치근단절제술 통증,2024-07,65.0,0,0.0,0
치근단절제술 통증,2024-08,66.0,0,0.0,0
치근단절제술 통증,2024-09,66.0,6,0.09090909090909091,0
치근단절제술 통증,2024-10,47.0,4,0.0851063829787234,0
치근단절제술 통증,2024-11,60.0,1,0.016666666666666666,0
치근단절제술 통증,2024-12,90.0,0,0.0,0
치근단절제술 통증,2025-01,130.0,1,0.007692307692307693,0
치근단절제술 통증,2025-02,170.0,10,0.058823529411764705,0
치근단절제술 통증,2025-03,210.0,13,0.06190476190476191,0
치근단절제술 통증,2025-04,170.0,5,0.029411764705882353,0
치근단절제술 통증,2025-05,160.0,6,0.0375,0
치근단절제술 통증,2025-06,110.0,2,0.01818181818181818,0
동탄 보존과 전문의,2024-06,5.0,2,0.4,5
동탄 보존과 전문의,2024-07,15.0,0,0.0,0
동탄 보존과 전문의,2024-08,5.0,1,0.2,5
동탄 보존과 전문의,2024-09,14.0,0,0.0,0
동탄 보존과 전문의,2024-10,5.0,3,0.6,5
동탄 보존과 전문의,2024-11,22.0,3,0.13636363636363635,0
동탄 보존과 전문의,2024-12,5.0,1,0.2,5
동탄 보존과 전문의,2025-01,5.0,2,0.4,5
동탄 보존과 전문의,2025-02,13.0,2,0.15384615384615385,0
동탄 보존과 전문의,2025-03,11.0,3,0.2727272727272727,0
동탄 보존과 전문의,2025-04,5.0,3,0.6,5
동탄 보존과 전문의,2025-05,5.0,0,0.0,5
동탄 보존과 전문의,2025-06,14.0,0,0.0,0
어금니 금이 간 경우,2024-06,5.0,0,0.0,5
어금니 금이 간 경우,2024-07,5.0,0,0.0,5
어금니 금이 간 경우,2024-08,5.0,0,0.0,5
어금니 금이 간 경우,2024-09,5.0,0,0.0,5
어금니 금이 간 경우,2024-10,5.0,0,0.0,5
어금니 금이 간 경우,2024-11,5.0,0,0.0,5
어금니 금이 간 경우,2024-12,5.0,0,0.0,5
어금니 금이 간 경우,2025-01,5.0,1,0.2,5
어금니 금이 간 경우,2025-02,5.0,0,0.0,5
어금니 금이 간 경우,2025-03,5.0,0,0.0,5
어금니 금이 간 경우,2025-04,5.0,0,0.0,5
어금니 금이 간 경우,2025-05,5.0,0,0.0,5
어금니 금이 간 경우,2025-06,5.0,0,0.0,5
급성치수염,2024-06,2460.0,0,0.0,0
급성치수염,2024-07,2240.0,0,0.0,0
급성치수염,2024-08,2280.0,0,0.0,0
급성치수염,2024-09,2240.0,0,0.0,0
급성치수염,2024-10,2280.0,0,0.0,0
급성치수염,2024-11,2210.0,0,0.0,0
급성치수염,2024-12,2220.0,0,0.0,0
급성치수염,2025-01,3530.0,0,0.0,0
급성치수염,2025-02,2390.0,0,0.0,0
급성치수염,2025-03,2120.0,0,0.0,0
급성치수염,2025-04,1770.0,0,0.0,0
급성치수염,2025-05,1770.0,17,0.0096045197740113,0
급성치수염,2025-06,1700.0,26,0.015294117647058824,0
아랫니 브릿지,2024-06,85.0,0,0.0,0
아랫니 브릿지,2024-07,70.0,0,0.0,0
아랫니 브릿지,2024-08,67.0,0,0.0,0
아랫니 브릿지,2024-09,80.0,0,0.0,0
아랫니 브릿지,2024-10,56.0,0,0.0,0
아랫니 브릿지,2024-11,68.0,2,0.029411764705882353,0
아랫니 브릿지,2024-12,50.0,10,0.2,0
아랫니 브릿지,2025-01,66.0,16,0.24242424242424243,0
아랫니 브릿지,2025-02,46.0,10,0.21739130434782608,0
아랫니 브릿지,2025-03,50.0,1,0.02,0
아랫니 브릿지,2025-04,57.0,2,0.03508771929824561,0
아랫니 브릿지,2025-05,68.0,1,0.014705882352941176,0
아랫니 브릿지,2025-06,80.0,5,0.0625,0
치근단형성술,2024-06,60.0,0,0.0,0
치근단형성술,2024-07,60.0,0,0.0,0
치근단형성술,2024-08,20.0,0,0.0,0
치근단형성술,2024-09,30.0,0,0.0,0
치근단형성술,2024-10,80.0,0,0.0,0
치근단형성술,2024-11,100.0,0,0.0,0
치근단형성술,2024-12,60.0,0,0.0,0
치근단형성술,2025-01,18.0,0,0.0,0
치근단형성술,2025-02,20.0,1,0.05,0
치근단형성술,2025-03,14.0,0,0.0,0
치근단형성술,2025-04,40.0,21,0.525,0
치근단형성술,2025-05,30.0,8,0.26666666666666666,0
치근단형성술,2025-06,60.0,16,0.26666666666666666,0
치과 엔도,2024-06,270.0,0,0.0,0
치과 엔도,2024-07,360.0,0,0.0,0
치과 엔도,2024-08,260.0,0,0.0,0
치과 엔도,2024-09,230.0,0,0.0,0
치과 엔도,2024-10,250.0,5,0.02,0
치과 엔도,2024-11,240.0,7,0.029166666666666667,0
치과 엔도,2024-12,230.0,0,0.0,0
치과 엔도,2025-01,300.0,0,0.0,0
치과 엔도,2025-02,290.0,12,0.041379310344827586,0
치과 엔도,2025-03,310.0,12,0.03870967741935484,0
치과 엔도,2025-04,260.0,8,0.03076923076923077,0
치과 엔도,2025-05,180.0,1,0.005555555555555556,0
치과 엔도,2025-06,180.0,0,0.0,0
내려간 잇몸,2024-06,160.0,0,0.0,0
내려간 잇몸,2024-07,150.0,0,0.0,0
내려간 잇몸,2024-08,180.0,0,0.0,0
내려간 잇몸,2024-09,150.0,0,0.0,0
내려간 잇몸,2024-10,180.0,0,0.0,0
내려간 잇몸,2024-11,160.0,0,0.0,0
내려간 잇몸,2024-12,160.0,0,0.0,0
내려간 잇몸,2025-01,190.0,13,0.06842105263157895,0
내려간 잇몸,2025-02,190.0,22,0.11578947368421053,0
내려간 잇몸,2025-03,190.0,5,0.02631578947368421,0
내려간 잇몸,2025-04,110.0,2,0.01818181818181818,0
내려간 잇몸,2025-05,88.0,3,0.03409090909090909,0
내려간 잇몸,2025-06,90.0,0,0.0,0
동탄 앞니 레진,2024-06,5.0,0,0.0,5
동탄 앞니 레진,2024-07,5.0,3,0.6,5
동탄 앞니 레진,2024-08,5.0,1,0.2,5
동탄 앞니 레진,2024-09,5.0,0,0.0,5
동탄 앞니 레진,2024-10,5.0,2,0.4,5
동탄 앞니 레진,2024-11,5.0,1,0.2,5
동탄 앞니 레진,2024-12,5.0,1,0.2,5
동탄 앞니 레진,2025-01,11.0,2,0.18181818181818182,0
동탄 앞니 레진,2025-02,11.0,4,0.36363636363636365,0
동탄 앞니 레진,2025-03,5.0,1,0.2,5
동탄 앞니 레진,2025-04,5.0,0,0.0,5
동탄 앞니 레진,2025-05,5.0,6,1.2,5
동탄 앞니 레진,2025-06,5.0,4,0.8,5
치과 치질,2024-06,35.0,7,0.2,0
치과 치질,2024-07,70.0,4,0.05714285714285714,0
치과 치질,2024-08,70.0,4,0.05714285714285714,0
치과 치질,2024-09,56.0,1,0.017857142857142856,0
치과 치질,2024-10,37.0,0,0.0,0
치과 치질,2024-11,30.0,1,0.03333333333333333,0
치과 치질,2024-12,33.0,0,0.0,0
치과 치질,2025-01,50.0,1,0.02,0
치과 치질,2025-02,57.0,0,0.0,0
치과 치질,2025-03,110.0,0,0.0,0
치과 치질,2025-04,40.0,0,0.0,0
치과 치질,2025-05,22.0,0,0.0,0
치과 치질,2025-06,40.0,1,0.025,0
