Expression,Count
색돌아옴,1
어두운,1
아래쪽이,1
핑크색,1
내돈,1
교합지자국,1
gi불소효과,1
발견해서,1
교합지색,1
시적,1
정지충치,1
조기에,1
가생긴거확인방법,1
조기발견,1
파란색교합지,1
큰점,1
감염확인,1
조직중,1
하다가,1
경희대학,1
재심경치료,1
수술비,1
중에,1
심해지면,1
종양,1
오염방지,1
마산,1
강릉,1
커짐,1
가라앉았다가,1
첫날,1
심해,1
남아있음,1
가지잇몸,1
잇몸관리,1
잇몸누공,1
변해요,1
내원횟수,1
마지막날,1
부산대,1
서울대학,1
대힉,1
병우ㅗㄴ,1
부으면,1
찬건지???,1
잇몸때문에,1
끝났는데,1
치료받았던,1
8번만에성공,1
dontic,1
7번,1
받은것이,1
찢어지는,1
주위염치료,1
동틴,1
치료가능,1
썪어서,1
처리,1
음식물,1
얇게,1
떼울때,1
친료는,1
어떻게하나,1
겉에,1
하루만에,1
잇몸부식,1
여자원장,1
한꺼번에,1
소리,1
인가요?,1
떼우고,1
렞ㄴ,1
썩었을때,1
떨어지고,1
오래됐어,1
없지만,1
시린입니다,1
자리,1
치료하는,1
저렴,1
8년된,1
바꾸고,1
보험료,1
받나요,1
저렴한,1
시려,1
2nd,1
caries,1
떼운자리,1
절삭후,1
키움,1
뽄뜨기전양치,1
부착,1
말리기,1
떨어진옆에잇몸,1
나온거,1
장.단점,1
서울,1
50대중년,1
벌어지면,1
80대,1
삭음,1
예방적,1
치료아밀감,1
교헙면,1
저렴한곳,1
왼쪽6번,1
아밀감,1
은색,1
동투,1
판정,1
하지않고,1
못살리나요,1
분당에서,1
치료할수있는곳,1
스마일,1
고철이빠졌어요,1
거의다빠졌어요,1
4개월됬는데,1
밈플란트,1
잘떨어지게하는방법,1
임블란트,1
심지가빠졌어요,1
보촐아빠졌어요,1
지켜,1
쓰나요,1
걸리나,1
가건,1
남겨도,1
2주뒤,1
2주,1
기건,1
문제,1
치쇼,1
빼는,1
절반이,1
부셔졌어요,1
2개월만에도완료,1
서울ok,1
2개윌에완료,1
관치료할수있는,1
보는,1
구로,1
받았던곳,1
신겅관찾기,1
했는데도,1
울산,1
있는곳,1
자리바뀐경우,1
치질이,1
얼마,1
남지,1
않은,1
남아있는,1
앤코어,1
잔조치질,1
치짗,1
치질이란,1
얼마남지,1
17번그루브,1
장점,1
영구충전,1
pelpotomy,1
절술과,1
관련하여,1
이용하여,1
주제,1
fc,1
진료방법,1
비가역성,1
pulpotmy,1
pulpotony,1
절단숭,1
펄포토미두번에,1
완화로,1
mta없이,1
약제,1
구글,1
번져요,1
썩었어,1
안쪽이,1
온가족,1
부러진이,1
가썩어서,1
잇몸절제술,1
상학동에,1
있어도,1
임플란드?,1
콧속,1
3개월,1
북광장쪽,1
과잉진료,1
북광장웰,1
설치되어,1
까매졍ㅅ,1
하이웰,1
잇몸주위,1
잇몸이.까매져,1
과벙중,1
변했는데,1
쐬웠는디,1
주변이,1
뜯어내니,1
게변햇어요,1
오르세,1
잇몸부터,1
까마면,1
신걍,1
도르니,1
이빠,1
썪음,1
잇몸라인,1
끝이,1
변하,1
깜해져요,1
씌우는,1
부산잇몸색치료,1
해주는곳,1
크라웃,1
나타나요,1
경계부위,1
보임,1
이운,1
씌어있는,1
ㅍㄱㆍ절,1
찌릿찌릿,1
잘보는,1
찌릿함,1
윗몸,1
저작시,1
심고,1
부었,1
틈새벌어지는,1
레이저,1
브릿치,1
전치브,1
하루에되는곳,1
하는건지?,1
간곳,1
간격,1
60대,1
칠료,1
간거는,1
치료하나요,1
유지치료,1
확대,1
씌우면,1
어떻게해야하나요,1
가루,1
색을보는,1
방밥,1
밝아졌어요,1
까만반점,1
거슬려,1
플란트,1
얼룩,1
잎니,1
벗겨보니,1
벗겨,1
밑까지,1
옆쪽,1
때문에생긴,1
없는데,1
넓은,1
들어감,1
들어갈수,1
부상,1
안으로밀리는,1
들어갔어요,1
이마,1
움푹들어가,1
들어간경우,1
누워,1
들어가있음,1
김천,1
들어간곳,1
들어간다,1
introusion,1
및혈관,1
중절치의,1
안으로들어가,1
밀린다,1
남양읍,1
injury,1
intrusison,1
가밀려안으로들어가는,1
수지관스프린트,1
intursion,1
intrugion,1
들어갈때,1
가안으로밀려요,1
치료되나요?,1
넘어져서.,1
혈관,1
내잍.ㄴ치돠,1
앞네,1
벌어지소,1
완성,1
임플란토2개월완성,1
내설,1
#41,1
약한,1
임플랴트2개월,1
수퍙,1
2개윌완성,1
2개웡,1
언제,1
곹이식,1
광범위한,1
재이식,1
상학,1
얇은,1
넓혀,1
증대,1
의심치아,1
인접몀,1
컨택포인트,1
없으면,1
우싣,1
평활면의,1
예방효과가,1
큰것,1
컨택의,1
6세,1
떼움,1
씰린트,1
끌림,1
추가맹출후,1
광주,1
메우기,1
추가,1
예방을,1
위해,1
홈매꾸기,1
나이,1
홈메꾸기,1
러버덤,1
60대후반,1
호수주변,1
성공한사례,1
성공확률,1
안지연,1
누렇게,1
메꾸는,1
사랑니뼈,1
순측골판,1
증강술,1
불발,1
바로임시,1
빌치후,1
강서구,1
되는곳,1
안들어,1
다른치과에서,1
섞은,1
안들어요,1
이모양,1
44번,1
끼리,1
부음,1
부딪혔는디.,1
부러진후,1
잇몸이부어,1
문에,1
잇몸이아팡ㅅ,1
붑고,1
박아서,1
잇몸붓고,1
이를부딪혔는데,1
피가나요,1
세게부딪혔는데시리고,1
세게부딪힘,1
앞미,1
넘어짐이후,1
치주인대,1
3unit,1
뒤쪽잇몸붓고,1
잇몸수술,1
왼쪽잇몸이,1
열도,1
나요,1
부딪힘으로,1
부딪혀,1
뒤에,1
누르면,1
잇몸이붓고,1
목동에위치한수면,1
어디가좋은가요,1
검붉은,1
때운게,1
선홍빛,1
매복치,1
물혹,1
픽업코핑,1
예후가,1
에이스,1
초음파,1
형태,1
안된,1
상병,1
기산,1
침범있는,1
침범한,1
침범이있는,1
보유한,1
올바른,1
요?,1
백선소실,1
탈회생길수있는,1
확률,1
주저앉고,1
흐트러졌을때,1
브잇지,1
주저앉은,1
부종,1
친료,1
안전거리,1
현대해상,1
수지,1
못하고,1
다쳤는데,1
자랄까요,1
선생님,1
빠진,1
있는데,1
정출,1
센트럴파크,1
뒷쪽이,1
텅빔,1
10년,1
같은,1
변한잇몸,1
변이,1
apex,1
변한다,1
여자원장님,1
지대치,1
지르코니,1
이물감,1
수리시,1
떨어진곳,1
몇년,1
검은점,1
이.욱신욱신,1
저릿한,1
이봉이지,1
암ㅎ나요,1
내려와,1
갈아내기,1
어떤가요,1
못할,1
거려요,1
질하는곳,1
능동,1
벌어,1
젔어요,1
몇년사용하나요,1
잇몸상태,1
있을때전악,1
치료사례?,1
만드는곳,1
인레,1
후회,1
3면,1
만지면,1
깨져,1
인레인탈거,1
튼튼한,1
관련,1
갔을때,1
간것,1
충전재로,1
살릴수있는지,1
or,1
tomy,1
간것처럼,1
줄이있어요,1
한국,1
청주,1
갔다,1
안하면,1
마취안하고,1
하나요,1
신동,1
11번,1
21번,1
라인,1
다수,1
너무작은,1
가.작은,1
50년,1
어른까지,1
가지고있는,1
동타,1
여부,1
확인하는,1
반송동,1
음식먹을때아픔,1
먹을때만,1
입에,1
먹을수,1
있는거,1
완치,1
부분렉스레이,1
은근한,1
불편감,1
드는,1
다듬기,1
1탄,1
무통마취,1
치주가,1
뼈가녹아없을때,1
리지않는,1
뽑아야하는지,1
타석증,1
내이,1
뽑아야,1
상황,1
24번자리,1
보철,1
주위가,1
헐어서,1
메탈,1
어렸을때,1
때우는,1
우유,1
임시충전제,1
이치료,1
띄우기,1
리온,1
이깨졌을때,1
때우는거,1
가운데가,1
피주머니,1
후왼쪽,1
통즌,1
몇일뒤,1
재충전,1
흔적,1
반지,1
넘어간충전재,1
2대구치,1
까매지는,1
막올리기,1
치은망,1
sinus시,1
높이,1
상학동,1
수술기구,1
봉담,1
골든,1
치료혜택있나,1
환자의고통,1
고령,1
건강보험,1
릴수도,1
70세이상,1
인플란트와,1
인플런트전체,1
의료보험기준,1
눌려서,1
창원파티마,1
이랫니랑,1
어디가더붙나요,1
윗이,1
보험되나요,1
못하나요?,1
일플런트,1
욱신거리는,1
일수,1
욱씬거리는,1
재진료,1
어그니,1
깨짖,1
티안나게,1
부러진,1
해야하는,1
맢닠,1
선생,1
절단연,1
필링,1
없을,1
아프고,1
차단술,1
음주,1
간절제술,1
치골,1
광교,1
절재술,1
수면치료,1
목동역,1
지근단체거술,1
자리이동,1
치주골,1
빼는데옆에,1
가벌어져요?,1
신도시,1
42번,1
파고든,1
부자연,1
낮아,1
오른쪽자연치교합,1
낮춰조정후,1
자연치낮아아픔,1
세균,1
죽이기,1
다쳐서,1
짧아지는,1
방지,1
노람,1
아플때,1
유지장치,1
아름다운,1
덧니로,1
안짧아지는,1
보일때,1
틀어짐,1
마취주사,1
오리하면,1
무너져,1
빠지려,1
빠지는,1
떠요,1
치ㅣ가ㅗ,1
경계면,1
외소치,1
다시치료방법,1
쒸운이,1
씨운뒤시간지나아린다,1
보강작업,1
통중,1
꽉잡고있는,1
거거치료,1
후2년지나,1
이있다,1
옆몈,1
레딘,1
옥정,1
마이플란트,1
shade,1
guide,1
날카로움,1
하는게,1
좋은가요,1
신견치료,1
변샏,1
증세,1
없는곳,1
임플람트,1
의저작기능,1
위로,1
잇몸소실,1
많이사용하는,1
크략,1
연구,1
쐐기,1
떼어내다,1
gold,1
쐐기작용,1
니로,1
덜채워짐,1
사용하나요?,1
영구적?,1
이떨어졌을때,1
벗겨졌을때,1
접합면,1
검사,1
속으로,1
상태체크,1
인래이,1
접합,1
앤도,1
흔드리는,1
는안되나요?,1
있나,1
ㅊㅣ과진료미세한,1
듯한,1
물마시고,1
압력,1
손으로,1
만질때,1
잇몸총증,1
치료제,1
탁한,1
치사,1
약해져,1
아랫이브리지,1
말고,1
수술후주의사항,1
골유착,1
수술후가글주의사항,1
수술후,1
주의사항,1
심함,1
마무리후,1
줄어드는,1
몇일,1
있다가,1
사라진경우,1
옆으로,1
한달만에,1
약소독,1
쁘리,1
염즘,1
처치,1
하얀염증,1
신경지료후,1
끼는느낌,1
안보이는,1
재질,1
층치,1
접합부분,1
썪어,1
씌워는데,1
소독,1
구내염,1
끝가지,1
후욱신욱신,1
얼마동안,1
꺠짐,1
후영증,1
술은,1
수술가능한가요?,1
부러지고,1
술보험,1
났어요ㅜ,1
술을,1
해야하나,1
특정,1
술치료,1
생겼어요,1
서서히,1
녹아,1
없어진다,1
식술,1
약재,1
넘어져,1
클램프방향,1
로단단한걸씹은후입천장,1
유림,1
유아,1
없어지는,1
찍었는데,1
뿌옇게,1
나와요,1
횟수,1
잇몸염즘,1
여드름처럼,1
도중,1
볼록,1
또는,1
후입몸,1
앜니잇몸,1
앞리,1
쒸우는,1
인몸,1
쉐이드테이킹,1
내려앉ㅇ.ㅁ,1
앞티,1
잇몸내려않음,1
양치질잇몸,1
삐뚤어짐,1
깊은,1
실선,1
생긴경우,1
후잇몸회복,1
앞이끝,1
치주과,1
맨끝,1
되어,1
자기치아보전,1
부부치과,1
해결,1
카레,1
측면접근법,1
접근법,1
보여,1
퇴추,1
림없는,1
멍듬,1
내려간잇몸에,1
드러나면,1
벌너짐,1
정중이개,1
일산,1
발어짐,1
앞ㅇ니,1
막혔을때,1
교합높이,1
충전제소실,1
잇몸으로,1
들어가는경우,1
드러남,1
임플란ㅌ,1
동탐역,1
잇몸내려앉으,1
임프란트불가능,1
근단치료,1
유격,1
의한,1
성형술,1
인공뼈,1
확율,1
27번,1
미세한불편감,1
하남,1
효과,1
한가요,1
타이트,1
칼시펙스의,1
삐둘어진곳,1
못하나,1
형성술이란,1
성장,1
만들어졌을때,1
apexipcation,1
형성슐,1
연장,1
형성,1
열린,1
형성술특징,1
clrmseks,1
gudtjdtnf,1
수산화,1
apexcificattion,1
잇몸뾰루지,1
먼저빼는,1
잇몸뼈,1
녹음,1
특징,1
겉보기에,1
어버먼트,1
풀림,1
스케일링하다가,1
brd,1
파일,1
노화로,1
잇몸이내려와,1
틈이생겨,1
긁어,1
버철,1
치료한곳,1
있으면,1
방치해야하나요,1
기둥,1
노출을,1
이랑똑같이안되나요?,1
뺀것,1
파괴된,1
뼈가,1
파괴되는경우,1
병소가,1
보인다,1
이상해,1
제르코니아,1
두개연결쉬우는거,1
모양다듬어,1
주나,1
재재,1
구개측,1
부천,1
냄새,1
이상한,1
구분,1
조각,1
접착,1
교합력,1
잘때우는,1
서울베스트,1
2개월차,1
미세꺠짐,1
붙이기,1
인레인때짐,1
때짐,1
치료계획서,1
표시,1
알아보는,1
레짐,1
글래스,1
오노머,1
드러나는현상,1
치경부마모,1
시멘트,1
x레이,1
canal,1
mesiobuccal,1
내돈내산,1
3d,1
약자,1
의정부,1
급설,1
무증상,1
만성복합,1
상아징,1
타진,1
반응,1
아기,1
경계부,1
미세누출,1
팽창,1
수축,1
crown,1
adaptation,1
리앤도,1
만성근단성,1
근단성,1
치고ㅓ,1
점막염,1
염으로잇몸뼈소실은,1
를해야만잇몸뼈가생기나요,1
영어,1
경우는?,1
윤민저,1
리젼,1
인레니,1
