date,keyword,is_brand,cnt
2023-08,어금니 신경치료 기간,N,100
2024-08,어금니 신경치료 기간,N,250
2024-12,어금니 신경치료 기간,N,510
2024-02,어금니 신경치료 기간,N,410
2023-10,어금니 신경치료 기간,N,120
2023-12,어금니 신경치료 기간,N,500
2024-04,어금니 신경치료 기간,N,360
2025-06,어금니 신경치료 기간,N,320
2024-11,어금니 신경치료 기간,N,410
2025-03,어금니 신경치료 기간,N,330
2025-04,어금니 신경치료 기간,N,320
2023-07,어금니 신경치료 기간,N,80
2023-09,어금니 신경치료 기간,N,90
2024-01,어금니 신경치료 기간,N,530
2024-05,어금니 신경치료 기간,N,400
2025-02,어금니 신경치료 기간,N,420
2023-11,어금니 신경치료 기간,N,500
2024-10,어금니 신경치료 기간,N,240
2025-01,어금니 신경치료 기간,N,430
2025-05,어금니 신경치료 기간,N,300
2024-06,intrusion,N,2290
2024-09,intrusion,N,1910
2024-03,intrusion,N,2270
2024-07,intrusion,N,2380
2023-08,intrusion,N,2070
2024-08,intrusion,N,2200
2024-12,intrusion,N,2530
2024-02,intrusion,N,1950
2023-10,intrusion,N,2540
2023-12,intrusion,N,2270
2024-04,intrusion,N,2510
2025-06,intrusion,N,1920
2024-11,intrusion,N,2030
2025-03,intrusion,N,1990
2025-04,intrusion,N,2020
2023-07,intrusion,N,2330
2023-09,intrusion,N,2140
2024-01,intrusion,N,2320
2024-05,intrusion,N,2160
2025-02,intrusion,N,1980
2023-11,intrusion,N,2360
2024-10,intrusion,N,2440
2025-01,intrusion,N,2110
2025-05,intrusion,N,1680
2024-06,치수괴사,N,450
2024-09,치수괴사,N,440
2024-03,치수괴사,N,410
2024-07,치수괴사,N,440
2023-08,치수괴사,N,440
2024-08,치수괴사,N,440
2024-12,치수괴사,N,410
2024-02,치수괴사,N,500
2023-10,치수괴사,N,400
2023-12,치수괴사,N,330
2024-04,치수괴사,N,460
2025-06,치수괴사,N,290
2024-11,치수괴사,N,430
2025-03,치수괴사,N,380
2025-04,치수괴사,N,310
2023-07,치수괴사,N,430
2023-09,치수괴사,N,440
2024-01,치수괴사,N,410
2024-05,치수괴사,N,400
2025-02,치수괴사,N,370
2023-11,치수괴사,N,390
2024-10,치수괴사,N,440
2025-01,치수괴사,N,300
2025-05,치수괴사,N,260
2024-07,동탄 보존과,N,21
2023-08,동탄 보존과,N,13
2024-12,동탄 보존과,N,13
2024-02,동탄 보존과,N,13
2023-12,동탄 보존과,N,11
2024-04,동탄 보존과,N,13
2025-06,동탄 보존과,N,13
2024-11,동탄 보존과,N,18
2025-03,동탄 보존과,N,15
2025-04,동탄 보존과,N,14
2023-07,동탄 보존과,N,11
2024-01,동탄 보존과,N,16
2024-05,동탄 보존과,N,11
2023-11,동탄 보존과,N,16
2024-10,동탄 보존과,N,12
2025-05,동탄 보존과,N,12
2024-06,동탄 재신경치료,N,10
2024-07,동탄 재신경치료,N,12
2023-08,동탄 재신경치료,N,20
2024-08,동탄 재신경치료,N,10
2023-12,동탄 재신경치료,N,11
2025-06,동탄 재신경치료,N,10
2025-03,동탄 재신경치료,N,15
2025-02,동탄 재신경치료,N,11
2025-05,동탄 재신경치료,N,13
2024-06,어른 유치,N,24
2024-09,어른 유치,N,24
2024-03,어른 유치,N,15
2024-07,어른 유치,N,25
2023-08,어른 유치,N,23
2024-08,어른 유치,N,12
2024-12,어른 유치,N,14
2024-02,어른 유치,N,13
2023-10,어른 유치,N,30
2023-12,어른 유치,N,25
2024-04,어른 유치,N,21
2025-06,어른 유치,N,13
2024-11,어른 유치,N,27
2025-03,어른 유치,N,15
2025-04,어른 유치,N,11
2023-07,어른 유치,N,21
2023-09,어른 유치,N,22
2024-01,어른 유치,N,24
2024-05,어른 유치,N,27
2025-02,어른 유치,N,20
2023-11,어른 유치,N,12
2024-10,어른 유치,N,27
2025-01,어른 유치,N,32
2025-05,어른 유치,N,13
2024-06,치수절단술,N,400
2024-09,치수절단술,N,290
2024-03,치수절단술,N,300
2024-07,치수절단술,N,400
2023-08,치수절단술,N,260
2024-08,치수절단술,N,310
2024-12,치수절단술,N,310
2024-02,치수절단술,N,210
2023-10,치수절단술,N,280
2023-12,치수절단술,N,320
2024-04,치수절단술,N,380
2025-06,치수절단술,N,320
2024-11,치수절단술,N,310
2025-03,치수절단술,N,360
2025-04,치수절단술,N,330
2023-07,치수절단술,N,310
2023-09,치수절단술,N,290
2024-01,치수절단술,N,300
2024-05,치수절단술,N,370
2025-02,치수절단술,N,300
2023-11,치수절단술,N,350
2024-10,치수절단술,N,310
2025-01,치수절단술,N,320
2025-05,치수절단술,N,310
2024-06,어금니 사이 충치,N,440
2024-09,어금니 사이 충치,N,380
2024-03,어금니 사이 충치,N,450
2024-07,어금니 사이 충치,N,480
2023-08,어금니 사이 충치,N,520
2024-08,어금니 사이 충치,N,430
2024-12,어금니 사이 충치,N,430
2024-02,어금니 사이 충치,N,540
2023-10,어금니 사이 충치,N,500
2023-12,어금니 사이 충치,N,460
2024-04,어금니 사이 충치,N,450
2025-06,어금니 사이 충치,N,240
2024-11,어금니 사이 충치,N,390
2025-03,어금니 사이 충치,N,370
2025-04,어금니 사이 충치,N,210
2023-07,어금니 사이 충치,N,500
2023-09,어금니 사이 충치,N,430
2024-01,어금니 사이 충치,N,550
2024-05,어금니 사이 충치,N,450
2025-02,어금니 사이 충치,N,360
2023-11,어금니 사이 충치,N,470
2024-10,어금니 사이 충치,N,420
2025-01,어금니 사이 충치,N,410
2025-05,어금니 사이 충치,N,270
2024-06,어금니 레진 깨짐,N,260
2024-09,어금니 레진 깨짐,N,410
2024-03,어금니 레진 깨짐,N,120
2024-07,어금니 레진 깨짐,N,370
2023-08,어금니 레진 깨짐,N,160
2024-08,어금니 레진 깨짐,N,410
2024-12,어금니 레진 깨짐,N,440
2024-02,어금니 레진 깨짐,N,110
2023-10,어금니 레진 깨짐,N,160
2023-12,어금니 레진 깨짐,N,120
2024-04,어금니 레진 깨짐,N,90
2025-06,어금니 레진 깨짐,N,160
2024-11,어금니 레진 깨짐,N,460
2025-03,어금니 레진 깨짐,N,380
2025-04,어금니 레진 깨짐,N,260
2023-07,어금니 레진 깨짐,N,120
2023-09,어금니 레진 깨짐,N,140
2024-01,어금니 레진 깨짐,N,100
2024-05,어금니 레진 깨짐,N,75
2025-02,어금니 레진 깨짐,N,440
2023-11,어금니 레진 깨짐,N,130
2024-10,어금니 레진 깨짐,N,470
2025-01,어금니 레진 깨짐,N,440
2025-05,어금니 레진 깨짐,N,200
2024-06,깨진 이,N,210
2024-09,깨진 이,N,230
2024-03,깨진 이,N,260
2024-07,깨진 이,N,240
2023-08,깨진 이,N,280
2024-08,깨진 이,N,190
2024-12,깨진 이,N,230
2024-02,깨진 이,N,260
2023-10,깨진 이,N,270
2023-12,깨진 이,N,260
2024-04,깨진 이,N,230
2025-06,깨진 이,N,96
2024-11,깨진 이,N,220
2025-03,깨진 이,N,118
2025-04,깨진 이,N,110
2023-07,깨진 이,N,280
2023-09,깨진 이,N,230
2024-01,깨진 이,N,260
2024-05,깨진 이,N,260
2025-02,깨진 이,N,130
2023-11,깨진 이,N,250
2024-10,깨진 이,N,220
2025-01,깨진 이,N,170
2025-05,깨진 이,N,90
2024-06,이가 까맣게,N,10
2024-09,이가 까맣게,N,12
2024-03,이가 까맣게,N,21
2024-07,이가 까맣게,N,10
2023-08,이가 까맣게,N,20
2024-08,이가 까맣게,N,26
2024-12,이가 까맣게,N,10
2024-02,이가 까맣게,N,21
2023-10,이가 까맣게,N,11
2023-12,이가 까맣게,N,18
2024-04,이가 까맣게,N,11
2025-06,이가 까맣게,N,12
2024-11,이가 까맣게,N,11
2025-03,이가 까맣게,N,10
2023-07,이가 까맣게,N,25
2023-09,이가 까맣게,N,10
2024-01,이가 까맣게,N,23
2024-05,이가 까맣게,N,24
2025-02,이가 까맣게,N,20
2023-11,이가 까맣게,N,12
2024-10,이가 까맣게,N,11
2025-01,이가 까맣게,N,23
2024-06,신경치료 후 잇몸 변색,N,11
2024-03,신경치료 후 잇몸 변색,N,12
2024-07,신경치료 후 잇몸 변색,N,13
2025-06,신경치료 후 잇몸 변색,N,36
2025-03,신경치료 후 잇몸 변색,N,12
2025-04,신경치료 후 잇몸 변색,N,13
2023-09,신경치료 후 잇몸 변색,N,15
2024-05,신경치료 후 잇몸 변색,N,10
2025-05,신경치료 후 잇몸 변색,N,34
2024-06,재신경치료,N,1930
2024-09,재신경치료,N,1790
2024-03,재신경치료,N,2040
2024-07,재신경치료,N,2000
2023-08,재신경치료,N,1970
2024-08,재신경치료,N,1950
2024-12,재신경치료,N,1760
2024-02,재신경치료,N,1920
2023-10,재신경치료,N,1910
2023-12,재신경치료,N,1980
2024-04,재신경치료,N,1910
2025-06,재신경치료,N,1620
2024-11,재신경치료,N,1770
2025-03,재신경치료,N,1700
2025-04,재신경치료,N,1830
2023-07,재신경치료,N,1850
2023-09,재신경치료,N,1650
2024-01,재신경치료,N,2370
2024-05,재신경치료,N,2160
2025-02,재신경치료,N,1750
2023-11,재신경치료,N,2030
2024-10,재신경치료,N,1830
2025-01,재신경치료,N,1840
2025-05,재신경치료,N,1550
2024-06,수직치근파절,N,29
2024-09,수직치근파절,N,17
2024-03,수직치근파절,N,24
2024-07,수직치근파절,N,18
2023-08,수직치근파절,N,14
2024-08,수직치근파절,N,50
2024-12,수직치근파절,N,30
2024-02,수직치근파절,N,15
2023-10,수직치근파절,N,30
2023-12,수직치근파절,N,20
2024-04,수직치근파절,N,15
2025-06,수직치근파절,N,38
2024-11,수직치근파절,N,20
2025-03,수직치근파절,N,20
2025-04,수직치근파절,N,20
2023-09,수직치근파절,N,22
2024-01,수직치근파절,N,18
2024-05,수직치근파절,N,19
2025-02,수직치근파절,N,20
2023-11,수직치근파절,N,28
2024-10,수직치근파절,N,28
2025-01,수직치근파절,N,17
2025-05,수직치근파절,N,30
2024-06,치아 브릿지 교체,N,69
2024-09,치아 브릿지 교체,N,70
2024-03,치아 브릿지 교체,N,77
2024-07,치아 브릿지 교체,N,69
2023-08,치아 브릿지 교체,N,87
2024-08,치아 브릿지 교체,N,38
2024-12,치아 브릿지 교체,N,90
2024-02,치아 브릿지 교체,N,57
2023-10,치아 브릿지 교체,N,60
2023-12,치아 브릿지 교체,N,78
2024-04,치아 브릿지 교체,N,60
2025-06,치아 브릿지 교체,N,170
2024-11,치아 브릿지 교체,N,110
2025-03,치아 브릿지 교체,N,320
2025-04,치아 브릿지 교체,N,300
2023-07,치아 브릿지 교체,N,55
2023-09,치아 브릿지 교체,N,67
2024-01,치아 브릿지 교체,N,73
2024-05,치아 브릿지 교체,N,70
2025-02,치아 브릿지 교체,N,330
2023-11,치아 브릿지 교체,N,59
2024-10,치아 브릿지 교체,N,70
2025-01,치아 브릿지 교체,N,200
2025-05,치아 브릿지 교체,N,220
2024-06,앞니 잇몸 통증,N,520
2024-09,앞니 잇몸 통증,N,520
2024-03,앞니 잇몸 통증,N,630
2024-07,앞니 잇몸 통증,N,520
2023-08,앞니 잇몸 통증,N,610
2024-08,앞니 잇몸 통증,N,480
2024-12,앞니 잇몸 통증,N,480
2024-02,앞니 잇몸 통증,N,580
2023-10,앞니 잇몸 통증,N,670
2023-12,앞니 잇몸 통증,N,600
2024-04,앞니 잇몸 통증,N,590
2025-06,앞니 잇몸 통증,N,540
2024-11,앞니 잇몸 통증,N,500
2025-03,앞니 잇몸 통증,N,590
2025-04,앞니 잇몸 통증,N,540
2023-07,앞니 잇몸 통증,N,660
2023-09,앞니 잇몸 통증,N,620
2024-01,앞니 잇몸 통증,N,600
2024-05,앞니 잇몸 통증,N,520
2025-02,앞니 잇몸 통증,N,530
2023-11,앞니 잇몸 통증,N,590
2024-10,앞니 잇몸 통증,N,520
2025-01,앞니 잇몸 통증,N,500
2025-05,앞니 잇몸 통증,N,440
2024-06,치근단절제술 통증,N,42
2024-09,치근단절제술 통증,N,66
2024-03,치근단절제술 통증,N,67
2024-07,치근단절제술 통증,N,65
2023-08,치근단절제술 통증,N,76
2024-08,치근단절제술 통증,N,66
2024-12,치근단절제술 통증,N,90
2024-02,치근단절제술 통증,N,46
2023-10,치근단절제술 통증,N,48
2023-12,치근단절제술 통증,N,80
2024-04,치근단절제술 통증,N,56
2025-06,치근단절제술 통증,N,110
2024-11,치근단절제술 통증,N,60
2025-03,치근단절제술 통증,N,210
2025-04,치근단절제술 통증,N,170
2023-07,치근단절제술 통증,N,58
2023-09,치근단절제술 통증,N,35
2024-01,치근단절제술 통증,N,65
2024-05,치근단절제술 통증,N,60
2025-02,치근단절제술 통증,N,170
2023-11,치근단절제술 통증,N,60
2024-10,치근단절제술 통증,N,47
2025-01,치근단절제술 통증,N,130
2025-05,치근단절제술 통증,N,160
2024-09,동탄 보존과 전문의,N,14
2024-07,동탄 보존과 전문의,N,15
2023-08,동탄 보존과 전문의,N,10
2024-02,동탄 보존과 전문의,N,30
2025-06,동탄 보존과 전문의,N,14
2024-11,동탄 보존과 전문의,N,22
2025-03,동탄 보존과 전문의,N,11
2023-07,동탄 보존과 전문의,N,13
2024-01,동탄 보존과 전문의,N,11
2024-05,동탄 보존과 전문의,N,11
2025-02,동탄 보존과 전문의,N,13
2023-11,동탄 보존과 전문의,N,15
2024-06,급성치수염,N,2460
2024-09,급성치수염,N,2240
2024-03,급성치수염,N,2560
2024-07,급성치수염,N,2240
2023-08,급성치수염,N,4480
2024-08,급성치수염,N,2280
2024-12,급성치수염,N,2220
2024-02,급성치수염,N,2730
2023-10,급성치수염,N,2240
2023-12,급성치수염,N,2250
2024-04,급성치수염,N,2220
2025-06,급성치수염,N,1700
2024-11,급성치수염,N,2210
2025-03,급성치수염,N,2120
2025-04,급성치수염,N,1770
2023-07,급성치수염,N,2250
2023-09,급성치수염,N,2800
2024-01,급성치수염,N,3600
2024-05,급성치수염,N,2490
2025-02,급성치수염,N,2390
2023-11,급성치수염,N,2000
2024-10,급성치수염,N,2280
2025-01,급성치수염,N,3530
2025-05,급성치수염,N,1770
2024-06,아랫니 브릿지,N,85
2024-09,아랫니 브릿지,N,80
2024-03,아랫니 브릿지,N,63
2024-07,아랫니 브릿지,N,70
2023-08,아랫니 브릿지,N,90
2024-08,아랫니 브릿지,N,67
2024-12,아랫니 브릿지,N,50
2024-02,아랫니 브릿지,N,72
2023-10,아랫니 브릿지,N,56
2023-12,아랫니 브릿지,N,73
2024-04,아랫니 브릿지,N,77
2025-06,아랫니 브릿지,N,80
2024-11,아랫니 브릿지,N,68
2025-03,아랫니 브릿지,N,50
2025-04,아랫니 브릿지,N,57
2023-07,아랫니 브릿지,N,70
2023-09,아랫니 브릿지,N,48
2024-01,아랫니 브릿지,N,49
2024-05,아랫니 브릿지,N,100
2025-02,아랫니 브릿지,N,46
2023-11,아랫니 브릿지,N,70
2024-10,아랫니 브릿지,N,56
2025-01,아랫니 브릿지,N,66
2025-05,아랫니 브릿지,N,68
2024-06,치근단형성술,N,60
2024-09,치근단형성술,N,30
2024-03,치근단형성술,N,30
2024-07,치근단형성술,N,60
2023-08,치근단형성술,N,40
2024-08,치근단형성술,N,20
2024-12,치근단형성술,N,60
2024-02,치근단형성술,N,30
2023-10,치근단형성술,N,60
2023-12,치근단형성술,N,90
2024-04,치근단형성술,N,37
2025-06,치근단형성술,N,60
2024-11,치근단형성술,N,100
2025-03,치근단형성술,N,14
2025-04,치근단형성술,N,40
2023-07,치근단형성술,N,28
2023-09,치근단형성술,N,50
2024-01,치근단형성술,N,20
2024-05,치근단형성술,N,50
2025-02,치근단형성술,N,20
2023-11,치근단형성술,N,190
2024-10,치근단형성술,N,80
2025-01,치근단형성술,N,18
2025-05,치근단형성술,N,30
2024-06,치과 엔도,N,270
2024-09,치과 엔도,N,230
2024-03,치과 엔도,N,320
2024-07,치과 엔도,N,360
2023-08,치과 엔도,N,210
2024-08,치과 엔도,N,260
2024-12,치과 엔도,N,230
2024-02,치과 엔도,N,310
2023-10,치과 엔도,N,210
2023-12,치과 엔도,N,210
2024-04,치과 엔도,N,290
2025-06,치과 엔도,N,180
2024-11,치과 엔도,N,240
2025-03,치과 엔도,N,310
2025-04,치과 엔도,N,260
2023-07,치과 엔도,N,290
2023-09,치과 엔도,N,210
2024-01,치과 엔도,N,370
2024-05,치과 엔도,N,270
2025-02,치과 엔도,N,290
2023-11,치과 엔도,N,210
2024-10,치과 엔도,N,250
2025-01,치과 엔도,N,300
2025-05,치과 엔도,N,180
2024-06,내려간 잇몸,N,160
2024-09,내려간 잇몸,N,150
2024-03,내려간 잇몸,N,140
2024-07,내려간 잇몸,N,150
2023-08,내려간 잇몸,N,100
2024-08,내려간 잇몸,N,180
2024-12,내려간 잇몸,N,160
2024-02,내려간 잇몸,N,120
2023-10,내려간 잇몸,N,120
2023-12,내려간 잇몸,N,130
2024-04,내려간 잇몸,N,150
2025-06,내려간 잇몸,N,90
2024-11,내려간 잇몸,N,160
2025-03,내려간 잇몸,N,190
2025-04,내려간 잇몸,N,110
2023-07,내려간 잇몸,N,130
2023-09,내려간 잇몸,N,110
2024-01,내려간 잇몸,N,150
2024-05,내려간 잇몸,N,150
2025-02,내려간 잇몸,N,190
2023-11,내려간 잇몸,N,110
2024-10,내려간 잇몸,N,180
2025-01,내려간 잇몸,N,190
2025-05,내려간 잇몸,N,88
2023-08,동탄 앞니 레진,N,16
2023-10,동탄 앞니 레진,N,10
2023-12,동탄 앞니 레진,N,12
2024-01,동탄 앞니 레진,N,12
2025-02,동탄 앞니 레진,N,11
2023-11,동탄 앞니 레진,N,12
2025-01,동탄 앞니 레진,N,11
2024-06,치과 치질,N,35
2024-09,치과 치질,N,56
2024-03,치과 치질,N,40
2024-07,치과 치질,N,70
2023-08,치과 치질,N,70
2024-08,치과 치질,N,70
2024-12,치과 치질,N,33
2024-02,치과 치질,N,48
2023-10,치과 치질,N,39
2023-12,치과 치질,N,50
2024-04,치과 치질,N,37
2025-06,치과 치질,N,40
2024-11,치과 치질,N,30
2025-03,치과 치질,N,110
2025-04,치과 치질,N,40
2023-07,치과 치질,N,70
2023-09,치과 치질,N,50
2024-01,치과 치질,N,50
2024-05,치과 치질,N,25
2025-02,치과 치질,N,57
2023-11,치과 치질,N,47
2024-10,치과 치질,N,37
2025-01,치과 치질,N,50
2025-05,치과 치질,N,22
2024-06,어린이 실란트,N,280
2024-09,어린이 실란트,N,210
2024-03,어린이 실란트,N,140
2024-07,어린이 실란트,N,300
2023-08,어린이 실란트,N,230
2024-08,어린이 실란트,N,290
2024-12,어린이 실란트,N,130
2024-02,어린이 실란트,N,160
2023-10,어린이 실란트,N,120
2023-12,어린이 실란트,N,100
2024-04,어린이 실란트,N,160
2025-06,어린이 실란트,N,180
2024-11,어린이 실란트,N,160
2025-03,어린이 실란트,N,120
2025-04,어린이 실란트,N,90
2023-07,어린이 실란트,N,250
2023-09,어린이 실란트,N,130
