postId,post_title,posting_score,exposure_score,score_가독성,score_주제,score_콘텐츠,score_키워드,score_형태소,score_후기/정보,publish_time,content_with_space,content_without_space,morpheme_count,word_count,valid_images,invalid_images,top_category_name,top_category_percentage
223159021007,동탄치과 큐레이를 사용한 정확한 충치 진단 후 레진 수복으로 당일 치료 완료!,준최5-Lv.3,36.47,78.01,65.43,60.46,84.53,63.16,61.00,2023-07-17 23,1670.0,1261.0,334,122,3,4,건강·의학,51.08%
223636574839,골드 인레이를 씌운 어금니가 크랙이 났다? 동탄역 치과 치아 파절로 인한 크라운 수복 사례,준최5-Lv.3,37.71,76.69,67.82,59.68,77.03,61.15,72.00,2024-10-28 12,1617.0,1239.0,301,112,1,2,건강·의학,58.38%
223360812566,"벌어지고 튀어나온 앞니, 동탄역 치과 에서 교정 없이 개선을 도와드렸던 방법은?!",준최5-Lv.3,37.71,76.56,67.60,60.11,85.53,50.84,70.00,2024-02-21 17,1638.0,1234.0,333,117,4,1,건강·의학,53.11%
223363365773,[ 동탄치과추천 ] 치아 수평 치근 파절로 발치 후 즉시 식립 임플란트 2개월 만에 완성,준최5-Lv.3,37.71,76.96,66.38,59.05,84.47,58.15,71.00,2024-02-23 23,1524.0,1158.0,307,108,1,6,건강·의학,58.58%
223367609103,동탄2치과 충치를 예방할 수 있는 어린이 실란트 (치아 홈 메우기)의 중요성!,준최5-Lv.3,37.71,74.78,70.94,69.04,78.63,56.65,68.00,2024-02-28 10,1413.0,1060.0,301,95,4,2,건강·의학,43.7%
223660476078,오산동 치과 아랫니 유치 잔존으로 영구치가 자라지 않았다? 앞니 브릿지로 심미 개선한 케이스,준최5-Lv.3,37.71,77.95,63.71,60.51,86.52,66.33,72.00,2024-11-14 16,1682.0,1281.0,308,118,4,2,건강·의학,55.56%
223682403570,검진 중 발견한 어금니 레진 깨짐과 치아 내부 충치 오산동 치과 에서 골드 인레이로 깔끔하게 해결한 증례,준최5-Lv.3,37.71,78.29,66.29,59.63,75.86,66.49,74.00,2024-12-04 15,1616.0,1228.0,280,109,0,4,건강·의학,49.03%
223707076590,외상으로 인한 치아 끝 깨짐과 앞니 잇몸 통증 동탄 치과 에서 어떤 방법으로 해결했을까?,준최5-Lv.3,37.71,79.64,65.41,61.30,78.95,66.31,11.00,2024-12-27 17,1796.0,1359.0,318,122,3,2,건강·의학,60.48%
223431220382,"오산동 치과 교정 후 검게 변한 앞니, 신경치료 및 실활치 미백으로 개선 완료",준최5-Lv.3,37.71,75.53,68.65,60.50,85.63,62.05,74.00,2024-04-29 22,1696.0,1272.0,325,106,2,3,건강·의학,44.07%
223156065790,"수직 치근 파절 (Vertical root fracture)이 나타난 작은 어금니, 동탄 임플란트 로 개선을 도와드렸습니다!",준최5-Lv.3,37.71,74.31,67.34,67.50,85.01,66.20,83.00,2023-07-14 14,2113.0,1602.0,383,134,0,11,건강·의학,58.27%
223462135488,"동탄역 치과 ""어른 유치, 작은 어린이 치아 이대로 괜찮을까요??""",준최5-Lv.3,36.47,78.03,72.78,68.92,88.07,65.59,59.00,2024-05-29 12,1435.0,1093.0,289,97,7,1,건강·의학,54.91%
223401398737,"동탄치과 추천 받고 오셨던 분의 후기, 치수 괴사 신경치료 / 치관 파절 임플란트",준최5-Lv.3,36.47,77.50,70.86,61.68,82.98,61.07,77.00,2024-03-31 22,1801.0,1352.0,349,118,0,8,건강·의학,62.11%
223245500936,미세현미경으로 숨은 근관 찾기! 동탄역치과 MB2 고난도 신경치료 과정,준최5-Lv.3,37.71,76.90,67.89,66.88,83.24,56.37,39.00,2023-10-24 19,1192.0,904.0,259,89,0,5,건강·의학,49.62%
223356020737,어금니 인레이 밑으로 생긴 충치 때문에 염증이 상악동까지 퍼졌다?! 동탄호수공원치과,준최5-Lv.3,36.47,75.91,65.76,60.39,79.03,56.46,72.00,2024-02-16 22,1685.0,1276.0,324,110,6,3,건강·의학,49.17%
223367277748,"치아 옆면에 생긴 충치, 인접면 우식의 위험성! 동탄역 치과",준최5-Lv.3,37.71,77.63,72.93,68.76,81.53,58.89,56.00,2024-02-27 23,1380.0,1041.0,282,112,0,5,건강·의학,47.9%
223260606003,신경치료를 받았던 앞니 색이 변했어요. 동탄치과 실활치 미백(walking bleach) 과정,준최5-Lv.3,36.47,75.28,67.63,67.01,78.57,57.21,66.00,2023-11-09 23,1193.0,907.0,262,84,6,2,건강·의학,53.54%
223133332263,'이 사이가 벌어졌어요.' 오산동 치과 레진 당일 수복 증례 (앞니 다이아스테마_Diastema),준최5-Lv.3,37.71,76.44,67.69,63.36,81.92,67.37,84.00,2023-06-19 22,1976.0,1492.0,379,126,4,4,건강·의학,56.87%
223732797065,치주 질환에 의해 내려간 잇몸 동탄 치과 에서 임플란트와 신경치료를 진행한 증례,준최5-Lv.3,37.71,76.73,67.88,62.47,80.88,62.15,78.00,2025-01-21 15,1919.0,1451.0,320,144,5,1,건강·의학,60.66%
223127778693,"정기검진, 이렇게나 중요합니다! 동탄 내이튼 치과",준최5-Lv.3,36.47,75.91,75.41,67.35,77.23,50.32,85.00,2023-06-13 16,2071.0,1582.0,402,135,3,7,건강·의학,44.81%
223307057929,"이차 충치로 잔존 치질이 얼마 남지 않은 곳, 자연치를 살릴 수 있었을까? 동탄치과",준최6-Lv.2,46.89,79.23,67.70,61.81,79.70,55.41,91.00,2023-12-29 23,1818.0,1353.0,346,115,2,8,건강·의학,46.7%
223132361960,동탄 신경치료 이왕이면 보존과 전문의에게 받는 것이 좋지 않을까요?,준최5-Lv.3,37.71,78.00,69.56,62.29,79.31,57.88,82.00,2023-06-18 23,1876.0,1426.0,362,116,0,7,건강·의학,40.82%
223215122462,"""예전에 치료받았던 곳이 너무 아파요."" 얼굴까지 붓기가 이어졌던 원인은? 동탄치과 농양 제거 과정",준최5-Lv.3,36.47,76.38,64.78,67.82,77.40,57.71,65.00,2023-09-18 21,1349.0,1016.0,257,101,3,4,건강·의학,65.12%
223724665134,신경치료 후 크라운 이후 앞니 치아 변색이 일어난 이유는? 동탄 치과 에서 실활치 미백으로 해결한 케이스,준최5-Lv.3,37.71,80.55,65.72,59.73,82.30,65.03,7.00,2025-01-13 18,1643.0,1246.0,293,117,3,1,건강·의학,57.21%
223572003924,동탄역 치과 염증으로 인한 앞니 통증을 치근단절제술으로 해결한 사례,준최5-Lv.3,37.71,78.00,68.45,59.64,85.12,59.87,91.00,2024-09-04 14,1617.0,1234.0,291,113,1,3,건강·의학,51.47%
223869870358,화성 치과 급성 치수염 증상 및 신경치료 과정을 살펴봅시다.,준최5-Lv.3,36.47,73.33,71.00,60.35,82.06,59.56,50.00,2025-05-18 23,1683.0,1277.0,324,134,8,3,건강·의학,62.25%
223330672507,"""잇몸 색이 까맣게 변했어요."" 동탄호수공원 치과 재신경치료, 크라운 과정",준최5-Lv.3,37.71,76.90,68.89,58.70,82.99,60.54,63.00,2024-01-22 23,1506.0,1140.0,300,104,4,3,건강·의학,61.9%
223598756784,동탄2치과 교정치료 후 치아 뿌리 흡수로 인한 흔들림 앞니 발치 당일 임플란트 식립으로 빠르게 해결해 드렸습니다.,준최5-Lv.3,37.71,78.73,66.63,61.52,78.54,59.30,75.00,2024-09-27 17,1820.0,1380.0,322,129,2,3,건강·의학,56.14%
223757805212,"동탄2 치과 엔도를 받은 뒤에 찾아온 치아 뿌리 염증 통증, 재신경치료 후 치근단 절제술을 진행한 케이스",준최5-Lv.3,37.71,79.35,67.96,61.68,74.92,62.35,89.00,2025-02-12 12,1851.0,1411.0,316,116,3,2,건강·의학,46.76%
223556089501,"틀니 통증으로 고난이도 윗니 전체 임플란트 진행하신 70대 환자 케이스, 의료보험 기준은? 화성 치과추천",준최5-Lv.3,36.47,75.03,67.70,67.09,79.41,63.48,81.00,2024-08-21 22,2050.0,1579.0,377,133,6,3,건강·의학,57.33%
223692083052,앞니 잇몸 내려앉음으로 오산동 치과 에서 지르코니아 크라운 교체 과정을 거친 증례,준최5-Lv.3,37.71,75.44,69.12,58.90,79.00,65.26,76.00,2024-12-13 11,1527.0,1163.0,294,125,2,2,건강·의학,50.5%
223629030784,동탄역 치과 앞니 끝 깨짐으로 인한 치아 벌어짐 라미네이트와 레진 치료를 통해 심미 회복하기,준최5-Lv.3,37.71,77.29,67.97,60.22,83.56,63.81,69.00,2024-10-22 16,1662.0,1268.0,305,128,2,1,건강·의학,52.53%
223432011619,"동탄역 치과 에서 오래된 PFM 제거 후, 심미적인 지르코니아 크라운을 씌워드렸습니다. (앞니 심미보철 제작 과정)",준최5-Lv.3,37.71,75.65,67.91,69.52,81.05,58.50,69.00,2024-04-30 16,1497.0,1133.0,310,109,3,1,건강·의학,57.47%
223269940028,"동탄역 치과 ""신경치료받았던 치아가 다시 아파요"" 부근관 발견 및 치료 성공 사례",준최5-Lv.3,36.47,77.69,69.26,67.62,86.98,59.01,9.00,2023-11-20 17,1250.0,945.0,282,106,6,4,건강·의학,57.52%
223457546240,"동탄역 치과 세라믹 인레이 파절, 튼튼한 어금니 골드 보철로 재수복을 도와드렸습니다🦷",준최5-Lv.3,37.71,74.19,68.86,58.68,85.39,66.91,68.00,2024-05-24 22,1507.0,1130.0,311,105,0,4,건강·의학,49.13%
223623932986,엔도 후 씌운 치아에 다시 통증이 느껴진다? 동탄동 치과 에서 어금니 재신경치료를 통해 해결한 사례,준최5-Lv.3,37.71,77.58,66.75,59.72,76.68,61.36,70.00,2024-10-19 12,1640.0,1254.0,302,102,3,1,건강·의학,52.38%
223829595540,"잇몸에 물집 , 염증 덩어리 의심해 볼 수 있습니다 동탄동 치과 치근단 병소 치료 과정",준최5-Lv.3,37.71,76.35,68.21,61.00,82.74,64.28,83.00,2025-04-11 12,1751.0,1348.0,294,136,4,2,건강·의학,61.07%
223139566281,기존 임플란트가 흔들리는 이유는 무엇일까? 미세현미경을 사용한 화성치과 나사 제거 및 재보철 증례,준최5-Lv.3,37.71,78.18,64.41,60.61,78.59,59.45,83.00,2023-06-26 22,1693.0,1293.0,326,107,5,3,건강·의학,57.58%
223415500360,화성치과 포스트 제거 후 재신경치료 과정 보존과 전문의는 어떤 게 다를까?,준최5-Lv.3,37.71,76.70,68.61,61.23,85.37,64.29,78.00,2024-04-14 23,1777.0,1352.0,327,111,0,7,건강·의학,44.44%
223394713508,앞니를 부딪혔는데 잇몸이 붓고 아파요. 동탄호수공원치과 심미 브릿지 제작 과정,준최5-Lv.3,37.71,78.71,68.93,67.92,81.40,56.59,62.00,2024-03-25 16,1296.0,988.0,288,103,0,5,건강·의학,62.16%
223262947643,"치아 사이에 생긴 인접면 충치, 조기에 발견할 수 있는 방법 및 동탄치과 치료 과정",준최5-Lv.3,36.47,78.70,70.10,62.45,81.49,59.44,17.00,2023-11-12 23,1877.0,1423.0,365,140,14,4,건강·의학,44.14%
223667579753,동탄동 치과 앞니 신경치료 후 치아 뿌리 염증과 통증 해결 과정,준최5-Lv.3,37.71,78.60,72.80,60.14,86.32,67.88,77.00,2024-11-20 18,1688.0,1278.0,292,107,3,3,건강·의학,54.82%
223302785170,'3년 전 치료받았던 곳이 아파요.' 화성 치과 미세현미경으로 MB2 신경관 찾기,준최5-Lv.3,37.71,78.79,68.61,67.08,81.95,59.66,28.00,2023-12-25 19,1199.0,908.0,263,83,2,1,건강·의학,48.82%
223793510515,덜 성장한 치아 뿌리 자라도록 유도하는 치근단형성술 오산동 치과 에서 알려드리겠습니다!,준최5-Lv.3,36.47,77.40,66.72,66.62,78.97,64.39,88.00,2025-03-12 16,2019.0,1543.0,370,164,1,7,건강·의학,56.47%
223553485165,"상악동 거상술을 동반한 임플란트 식립, 술식과 방법은? 동탄 치과추천",준최5-Lv.3,37.71,74.44,65.91,66.89,80.78,59.46,80.00,2024-08-19 20,2063.0,1571.0,355,124,2,2,건강·의학,55.22%
223335804761,"'앞니가 벌어졌어요!' 동탄치과추천 받고 오셨던 분, 레진 당일 수복 과정",준최5-Lv.3,37.71,75.14,70.60,59.03,83.12,60.47,68.00,2024-01-27 23,1533.0,1147.0,297,104,0,3,건강·의학,56.36%
223405640599,"올바른 치료의 중요성, 동탄호수공원치과 앞니 지르코니아 크라운 심미보철 제작 과정",준최5-Lv.3,37.71,76.39,69.07,58.84,78.25,57.01,72.00,2024-04-04 15,1527.0,1160.0,289,112,0,7,건강·의학,58.05%
223423945234,"어린이 앞니 외상 치료, 보존과 전문의가 있는 화성 치과 에서 자연치아를 살려드렸습니다🦷",준최5-Lv.3,37.71,78.18,68.18,69.15,83.75,66.79,7.00,2024-04-22 23,1489.0,1123.0,314,100,1,3,건강·의학,50%
223186535780,"""어금니가 시큰거리고 아파요."" 동탄역치과 소구치 신경치료 및 크라운 수복 과정",준최5-Lv.3,37.71,76.26,67.17,69.00,82.24,55.69,75.00,2023-08-17 23,1429.0,1080.0,302,103,2,3,건강·의학,63.87%
223704336524,이차 우식이 나타나는 이유는 무엇일까? 오산동 치과 에서 어금니 충치 레진으로 다시 수복한 과정,준최5-Lv.3,37.71,77.46,64.60,59.51,77.63,63.15,62.00,2024-12-25 12,1595.0,1207.0,291,107,1,2,건강·의학,55.45%
223236771862,동탄역치과 톡 벌어진 앞니 다이아스테마(diastema) 레진으로 당일 수복을 도와드렸습니다.,준최5-Lv.3,36.47,78.61,67.03,69.05,79.64,57.80,18.00,2023-10-14 22,1437.0,1099.0,310,104,5,4,건강·의학,52.8%
223459255522,"동탄치과 금(crack)이 간 어금니, 신경치료로 자연치아 살리기🦷",준최5-Lv.3,37.71,75.69,67.45,60.48,83.39,54.83,64.00,2024-05-26 23,1707.0,1288.0,330,119,3,4,건강·의학,55.38%
223364978339,"상악 전치부 치조골 흡수, 뼈이식을 동반한 동탄 임플란트 식립 과정!",준최5-Lv.3,36.47,75.18,65.70,59.08,85.02,64.33,79.00,2024-02-25 23,1510.0,1135.0,307,113,9,2,건강·의학,54.88%
223386498335,앞니 발치 후 즉시 식립 임플란트 오산동 치과 에서는 당일 임시치아 세팅이 가능합니다👍,준최5-Lv.3,37.71,76.70,75.09,68.20,84.25,63.99,45.00,2024-03-17 23,1369.0,1026.0,291,109,0,7,건강·의학,50.6%
223155543711,"""앞니 하나가 안쪽으로 들어가 있어요!"" 동탄치과추천 받고 오셨던 분 전치부 레진 수복 증례",준최5-Lv.3,37.71,76.08,68.64,61.17,83.34,59.57,23.00,2023-07-13 23,1757.0,1329.0,342,114,0,8,건강·의학,58.95%
223816356433,"인레이 치료 후 발생할 수 있는 문제( 충치 , 치아 파절 ) 동탄역 치과 에서 원인과 해결 방법 알아봅시다!",준최5-Lv.3,36.47,76.75,68.00,63.17,84.65,71.03,98.00,2025-03-31 17,1973.0,1513.0,347,156,4,4,건강·의학,55.27%
223589964130,"""아파서 중간에 중단했어요 다시 받고 싶어요""동탄치과 추천에서 통증 없이 앞니 재신경치료한 사례",준최5-Lv.3,37.71,77.80,63.16,59.60,79.20,58.01,81.00,2024-09-20 14,1640.0,1246.0,298,102,3,3,건강·의학,61.8%
223821931245,잇몸에 고름주머니 생겼다면 치아 뿌리 끝 염증이 원인일 수 있습니다 화성 치과 에서 치근단 절제술 치료 과정 알아봅시다.,준최5-Lv.3,37.71,76.01,66.04,62.41,76.04,67.23,85.00,2025-04-04 13,1886.0,1473.0,317,151,2,5,건강·의학,60.15%
223646411050,갑자기 잇몸에 통증이 느껴진다? 화성 치과에서 흔들리는 치아 신경치료를 통해 해결한 진료과정,준최5-Lv.3,37.71,78.83,68.25,60.59,77.29,57.58,76.00,2024-11-04 15,1726.0,1316.0,309,122,0,4,건강·의학,56.8%
223220535699,오산동치과 에서 알려드리는 root crack(치근 파절) 치료 과정,준최5-Lv.3,37.71,75.03,71.48,67.03,85.78,65.92,39.00,2023-09-24 23,1189.0,901.0,256,92,4,1,건강·의학,56.34%
223299941436,"작은 어금니 (소구치) 파절, 오산동 치과 임플란트는 2개월 만에 끝난다?",준최5-Lv.3,37.71,77.13,65.28,69.47,88.84,61.81,71.00,2023-12-21 23,1493.0,1121.0,325,100,3,3,건강·의학,56.67%
223285021905,"동탄역치과 앞니 벌어짐, 라미네이트 수복 장, 단점 및 치료 과정",준최5-Lv.3,36.47,75.93,71.29,67.48,81.20,62.25,87.00,2023-12-06 21,2093.0,1577.0,406,132,13,5,건강·의학,55.02%
223384532317,동탄 치과 추천 타원에서 식립 불가하여 앞니 뼈이식 임플란트 받으러 오셨던 증례를 함께 볼까요?,준최5-Lv.3,37.71,79.56,65.96,60.37,83.46,61.33,87.00,2024-03-15 17,1694.0,1276.0,324,107,5,2,건강·의학,62.43%
223642862146,동탄역 치과 인레이 속에서 다시 찾아온 충치의 원인? 재수복 한 과정,준최5-Lv.3,37.71,79.26,70.26,59.74,85.81,60.94,72.00,2024-11-01 17,1673.0,1261.0,286,110,1,2,건강·의학,54.55%
223717371151,동탄역 치과 충치가 깊게 진행된 치아 신경치료 없이 치수 복조술을 통해서 자연치를 보존한,준최5-Lv.3,37.71,79.28,70.03,58.96,84.76,59.81,74.00,2025-01-07 14,1545.0,1169.0,300,114,3,4,건강·의학,56.41%
223287134538,[ 동탄역 치과 ] 충치 검진 및 아말감 교체 당일 레진 수복 과정,준최5-Lv.3,36.47,77.08,72.57,59.03,87.80,79.59,17.00,2023-12-08 22,1523.0,1159.0,311,99,2,8,건강·의학,51.88%
223684387892,신경치료 후 크라운까지 씌웠는데 염증이 나타났다? 동탄 치과 에서 치조골 이식술을 동반한 치아 발치 후 임플란트 치료 사례,준최5-Lv.3,37.71,77.36,64.17,59.56,82.84,63.72,73.00,2024-12-06 10,1614.0,1212.0,301,109,2,4,건강·의학,59.28%
223447775141,"앞니 보철에 생긴 염증, '치아가 별로 남지 않았다면?' 동탄역 치과 발치 즉시 임플란트 식립 과정",준최5-Lv.3,37.71,75.50,67.85,62.81,78.10,61.64,78.00,2024-05-15 21,1927.0,1449.0,359,131,0,4,건강·의학,60.36%
223181472820,극심한 통증의 원인은 무엇일까? 급성치수염 치료 과정 화성치과추천,준최5-Lv.3,37.71,74.80,71.71,69.27,83.91,58.63,59.00,2023-08-11 23,1465.0,1127.0,301,117,2,4,건강·의학,56.5%
223239313976,"굽어 있는 C형 근관을 갖고 있던 분, 보존과 전문의의 동탄신경치료 치아 흔들림 개선 완료.",준최5-Lv.3,37.71,76.56,69.76,68.67,82.24,54.64,63.00,2023-10-17 19,1391.0,1059.0,287,98,1,7,건강·의학,46.75%
223695000182,동탄동 치과 심한 잇몸 퇴축으로 인한 흔들리는 치아들 임플란트 치료 과정을 통해 개선한 케이스,준최5-Lv.3,37.71,79.99,64.88,59.85,77.50,61.49,73.00,2024-12-16 11,1624.0,1244.0,303,118,2,3,건강·의학,59.09%
223442936737,골드 인레이 탈락 및 원심 충치로 동탄역 치과 에서 보철 재수복 진행😊,준최5-Lv.3,37.71,76.15,67.23,60.50,79.94,65.62,71.00,2024-05-10 22,1681.0,1263.0,340,110,0,6,건강·의학,51.72%
223149973455,"""이가 떨어졌어요!"" 화성 오산동 치과 발치 후 즉시식립 임플란트",준최5-Lv.3,36.47,75.50,74.57,60.78,89.35,69.47,73.00,2023-07-07 23,1719.0,1307.0,334,112,0,10,건강·의학,50.53%
223713604505,치조골 흡수로 틀니가 흔들린다면? 동탄동 치과 에서 오버덴쳐로 해결한 케이스,준최5-Lv.3,37.71,78.86,71.57,60.20,76.39,63.42,76.00,2025-01-03 14,1669.0,1274.0,299,126,2,3,건강·의학,61.57%
223767379681,"화성 치과 파절된 치외치로 인한 치아 뿌리 염증, 치근단 형성술 받은 케이스",준최5-Lv.3,37.71,77.74,69.59,59.97,80.82,68.10,76.00,2025-02-20 15,1623.0,1234.0,298,112,3,2,건강·의학,56.98%
223235174542,Injection moulding technique 을 사용한 변색되고 벌어진 앞니 치료 동탄치과추천,준최5-Lv.3,36.47,76.90,68.85,59.70,85.35,57.04,19.00,2023-10-12 23,1595.0,1220.0,326,104,13,3,건강·의학,50%
223776270808,화성 치과 치아 뿌리 끝 형성된 염증 앞니 재신경치료 후 크라운 수복으로 다시 한번 보존하기,준최5-Lv.3,37.71,81.60,67.95,60.51,85.52,67.09,89.00,2025-02-27 12,1710.0,1298.0,316,124,0,5,건강·의학,48.53%
223451837108,"동탄역 치과 ""앞니 사이가 벌어졌어요!"" 레진을 사용한 당일 치료 증례😮",준최5-Lv.3,37.71,74.44,68.39,59.24,83.23,64.84,67.00,2024-05-19 23,1562.0,1166.0,319,90,0,4,건강·의학,54.91%
223747165682,화성 치과 엔도 중 충전재가 제대로 채워지지 않았다면? 어금니 재 신경치료 과정,준최5-Lv.3,37.71,78.81,67.83,59.16,78.58,66.41,78.00,2025-02-04 11,1587.0,1205.0,291,106,1,4,건강·의학,51.34%
