"searchQuery","date","pc","mobile"
"pulpotomy","2024-05",200,370
"pulpotomy","2025-02",190,280
"pulpotomy","2023-11",140,260
"pulpotomy","2024-10",160,310
"pulpotomy","2025-01",140,260
"pulpotomy","2025-05",200,260
"동탄내이튼치과","2024-06",60,610
"동탄내이튼치과","2024-09",50,490
"동탄내이튼치과","2024-03",40,560
"동탄내이튼치과","2024-07",60,540
"동탄내이튼치과","2023-08",30,190
"동탄내이튼치과","2024-08",50,670
"동탄내이튼치과","2024-12",40,510
"동탄내이튼치과","2024-02",40,550
"동탄내이튼치과","2023-10",20,120
"동탄내이튼치과","2023-12",50,490
"동탄내이튼치과","2024-04",60,530
"동탄내이튼치과","2025-06",30,250
"동탄내이튼치과","2024-11",60,610
"동탄내이튼치과","2025-03",50,590
"동탄내이튼치과","2025-04",30,450
"동탄내이튼치과","2023-07",30,110
"동탄내이튼치과","2023-09",10,170
"동탄내이튼치과","2024-01",40,540
"동탄내이튼치과","2024-05",50,600
"동탄내이튼치과","2025-02",60,660
"동탄내이튼치과","2023-11",30,170
"동탄내이튼치과","2024-10",50,750
"동탄내이튼치과","2025-01",50,400
"동탄내이튼치과","2025-05",40,430
"재신경치료 기간","2024-06",4,50
"재신경치료 기간","2024-09",6,50
"재신경치료 기간","2024-03",8,70
"재신경치료 기간","2024-07",10,60
"재신경치료 기간","2023-08",10,60
"재신경치료 기간","2024-08",20,60
"재신경치료 기간","2024-12",10,70
"재신경치료 기간","2024-02",10,70
"재신경치료 기간","2023-10",10,40
"재신경치료 기간","2023-12",10,50
"재신경치료 기간","2024-04",10,50
"재신경치료 기간","2025-06",8,90
"재신경치료 기간","2024-11",10,50
"재신경치료 기간","2025-03",10,110
"재신경치료 기간","2025-04",20,110
"재신경치료 기간","2023-07",20,70
"재신경치료 기간","2023-09",10,40
"재신경치료 기간","2024-01",10,60
"재신경치료 기간","2024-05",5,40
"재신경치료 기간","2025-02",30,110
"재신경치료 기간","2023-11",10,50
"재신경치료 기간","2024-10",10,40
"재신경치료 기간","2025-01",8,70
"재신경치료 기간","2025-05",20,100
"치아 옆면 충치","2024-06",40,340
"치아 옆면 충치","2024-09",40,310
"치아 옆면 충치","2024-03",40,330
"치아 옆면 충치","2024-07",30,320
"치아 옆면 충치","2023-08",30,290
"치아 옆면 충치","2024-08",30,330
"치아 옆면 충치","2024-12",20,300
"치아 옆면 충치","2024-02",30,380
"치아 옆면 충치","2023-10",30,310
"치아 옆면 충치","2023-12",40,300
"치아 옆면 충치","2024-04",30,350
"치아 옆면 충치","2025-06",10,230
"치아 옆면 충치","2024-11",30,280
"치아 옆면 충치","2025-03",20,230
"치아 옆면 충치","2025-04",20,200
"치아 옆면 충치","2023-07",40,310
"치아 옆면 충치","2023-09",40,270
"치아 옆면 충치","2024-01",50,370
"치아 옆면 충치","2024-05",40,300
"치아 옆면 충치","2025-02",20,280
"치아 옆면 충치","2023-11",40,330
"치아 옆면 충치","2024-10",30,320
"치아 옆면 충치","2025-01",20,300
"치아 옆면 충치","2025-05",20,230
"신경치료 후 염증","2024-06",70,530
"신경치료 후 염증","2024-09",80,570
"신경치료 후 염증","2024-03",70,560
"신경치료 후 염증","2024-07",80,550
"신경치료 후 염증","2023-08",60,560
"신경치료 후 염증","2024-08",70,640
"신경치료 후 염증","2024-12",90,490
"신경치료 후 염증","2024-02",80,520
"신경치료 후 염증","2023-10",50,570
"신경치료 후 염증","2023-12",80,570
"신경치료 후 염증","2024-04",70,540
"신경치료 후 염증","2025-06",60,360
"신경치료 후 염증","2024-11",110,530
"신경치료 후 염증","2025-03",60,430
"신경치료 후 염증","2025-04",70,430
"신경치료 후 염증","2023-07",60,580
"신경치료 후 염증","2023-09",60,500
"신경치료 후 염증","2024-01",80,620
"신경치료 후 염증","2024-05",70,520
"신경치료 후 염증","2025-02",80,530
"신경치료 후 염증","2023-11",100,590
"신경치료 후 염증","2024-10",110,590
"신경치료 후 염증","2025-01",50,480
"신경치료 후 염증","2025-05",50,360
"어금니 신경치료 기간","2024-06",40,310
"어금니 신경치료 기간","2024-09",30,210
"어금니 신경치료 기간","2024-03",50,350
"어금니 신경치료 기간","2024-07",50,410
"어금니 신경치료 기간","2023-08",10,90
"어금니 신경치료 기간","2024-08",30,220
"어금니 신경치료 기간","2024-12",60,450
"어금니 신경치료 기간","2024-02",40,370
"어금니 신경치료 기간","2023-10",10,110
"어금니 신경치료 기간","2023-12",50,450
"어금니 신경치료 기간","2024-04",50,310
"어금니 신경치료 기간","2025-06",50,270
"어금니 신경치료 기간","2024-11",60,350
"어금니 신경치료 기간","2025-03",40,290
"어금니 신경치료 기간","2025-04",50,270
"어금니 신경치료 기간","2023-07",20,60
"어금니 신경치료 기간","2023-09",20,70
"어금니 신경치료 기간","2024-01",60,470
"어금니 신경치료 기간","2024-05",50,350
"어금니 신경치료 기간","2025-02",60,360
"어금니 신경치료 기간","2023-11",70,430
"어금니 신경치료 기간","2024-10",40,200
"어금니 신경치료 기간","2025-01",40,390
"어금니 신경치료 기간","2025-05",50,250
"intrusion","2024-06",900,1390
"intrusion","2024-09",770,1140
"intrusion","2024-03",910,1360
"intrusion","2024-07",890,1490
"intrusion","2023-08",770,1300
"intrusion","2024-08",800,1400
"intrusion","2024-12",790,1740
"intrusion","2024-02",790,1160
"intrusion","2023-10",1020,1520
"intrusion","2023-12",900,1370
"intrusion","2024-04",1040,1470
"intrusion","2025-06",670,1250
"intrusion","2024-11",770,1260
"intrusion","2025-03",760,1230
"intrusion","2025-04",820,1200
"intrusion","2023-07",940,1390
"intrusion","2023-09",880,1260
"intrusion","2024-01",880,1440
"intrusion","2024-05",900,1260
"intrusion","2025-02",670,1310
"intrusion","2023-11",960,1400
"intrusion","2024-10",900,1540
"intrusion","2025-01",760,1350
"intrusion","2025-05",660,1020
"치수괴사","2024-06",70,380
"치수괴사","2024-09",90,350
"치수괴사","2024-03",110,300
"치수괴사","2024-07",110,330
"치수괴사","2023-08",90,350
"치수괴사","2024-08",70,370
"치수괴사","2024-12",70,340
"치수괴사","2024-02",100,400
"치수괴사","2023-10",80,320
"치수괴사","2023-12",70,260
"치수괴사","2024-04",90,370
"치수괴사","2025-06",60,230
"치수괴사","2024-11",90,340
"치수괴사","2025-03",90,290
"치수괴사","2025-04",70,240
"치수괴사","2023-07",70,360
"치수괴사","2023-09",80,360
"치수괴사","2024-01",70,340
"치수괴사","2024-05",90,310
"치수괴사","2025-02",80,290
"치수괴사","2023-11",90,300
"치수괴사","2024-10",100,340
"치수괴사","2025-01",50,250
"치수괴사","2025-05",50,210
"동탄 보존과","2024-07",1,20
"동탄 보존과","2023-08",3,10
"동탄 보존과","2024-12",3,10
"동탄 보존과","2024-02",3,10
"동탄 보존과","2023-12",1,10
"동탄 보존과","2024-04",3,10
"동탄 보존과","2025-06",3,10
"동탄 보존과","2024-11",8,10
"동탄 보존과","2025-03",5,10
"동탄 보존과","2025-04",4,10
"동탄 보존과","2023-07",1,10
"동탄 보존과","2024-01",6,10
"동탄 보존과","2024-05",1,10
"동탄 보존과","2023-11",6,10
"동탄 보존과","2024-10",2,10
"동탄 보존과","2025-05",2,10
"동탄 재신경치료","2024-06",0,10
"동탄 재신경치료","2024-07",2,10
"동탄 재신경치료","2023-08",0,20
"동탄 재신경치료","2024-08",0,10
"동탄 재신경치료","2023-12",1,10
"동탄 재신경치료","2025-06",0,10
"동탄 재신경치료","2025-03",5,10
"동탄 재신경치료","2025-02",1,10
"동탄 재신경치료","2025-05",3,10
"어른 유치","2024-06",4,20
"어른 유치","2024-09",4,20
"어른 유치","2024-03",5,10
"어른 유치","2024-07",5,20
"어른 유치","2023-08",3,20
"어른 유치","2024-08",2,10
"어른 유치","2024-12",4,10
"어른 유치","2024-02",3,10
"어른 유치","2023-10",10,20
"어른 유치","2023-12",5,20
"어른 유치","2024-04",1,20
"어른 유치","2025-06",3,10
"어른 유치","2024-11",7,20
"어른 유치","2025-03",5,10
"어른 유치","2025-04",1,10
"어른 유치","2023-07",1,20
"어른 유치","2023-09",2,20
"어른 유치","2024-01",4,20
"어른 유치","2024-05",7,20
"어른 유치","2025-02",0,20
"어른 유치","2023-11",2,10
"어른 유치","2024-10",7,20
"어른 유치","2025-01",2,30
"어른 유치","2025-05",3,10
"치수절단술","2024-06",110,290
"치수절단술","2024-09",80,210
"치수절단술","2024-03",100,200
"치수절단술","2024-07",140,260
"치수절단술","2023-08",80,180
"치수절단술","2024-08",120,190
"치수절단술","2024-12",80,230
"치수절단술","2024-02",60,150
"치수절단술","2023-10",60,220
"치수절단술","2023-12",100,220
"치수절단술","2024-04",110,270
"치수절단술","2025-06",100,220
"치수절단술","2024-11",80,230
"치수절단술","2025-03",120,240
"치수절단술","2025-04",100,230
"치수절단술","2023-07",80,230
"치수절단술","2023-09",70,220
"치수절단술","2024-01",80,220
"치수절단술","2024-05",110,260
"치수절단술","2025-02",110,190
"치수절단술","2023-11",90,260
"치수절단술","2024-10",100,210
"치수절단술","2025-01",100,220
"치수절단술","2025-05",80,230
"어금니 사이 충치","2024-06",40,400
"어금니 사이 충치","2024-09",30,350
"어금니 사이 충치","2024-03",40,410
"어금니 사이 충치","2024-07",50,430
"어금니 사이 충치","2023-08",30,490
"어금니 사이 충치","2024-08",50,380
"어금니 사이 충치","2024-12",30,400
"어금니 사이 충치","2024-02",50,490
"어금니 사이 충치","2023-10",50,450
"어금니 사이 충치","2023-12",40,420
"어금니 사이 충치","2024-04",30,420
"어금니 사이 충치","2025-06",30,210
"어금니 사이 충치","2024-11",40,350
"어금니 사이 충치","2025-03",20,350
"어금니 사이 충치","2025-04",20,190
"어금니 사이 충치","2023-07",40,460
"어금니 사이 충치","2023-09",40,390
"어금니 사이 충치","2024-01",30,520
"어금니 사이 충치","2024-05",40,410
"어금니 사이 충치","2025-02",20,340
"어금니 사이 충치","2023-11",50,420
"어금니 사이 충치","2024-10",60,360
"어금니 사이 충치","2025-01",30,380
"어금니 사이 충치","2025-05",30,240
"어금니 레진 깨짐","2024-06",30,230
"어금니 레진 깨짐","2024-09",30,380
"어금니 레진 깨짐","2024-03",20,100
"어금니 레진 깨짐","2024-07",30,340
"어금니 레진 깨짐","2023-08",20,140
"어금니 레진 깨짐","2024-08",30,380
"어금니 레진 깨짐","2024-12",50,390
"어금니 레진 깨짐","2024-02",10,100
"어금니 레진 깨짐","2023-10",20,140
"어금니 레진 깨짐","2023-12",10,110
"어금니 레진 깨짐","2024-04",10,80
"어금니 레진 깨짐","2025-06",20,140
"어금니 레진 깨짐","2024-11",40,420
"어금니 레진 깨짐","2025-03",20,360
"어금니 레진 깨짐","2025-04",30,230
"어금니 레진 깨짐","2023-07",10,110
"어금니 레진 깨짐","2023-09",10,130
"어금니 레진 깨짐","2024-01",20,80
"어금니 레진 깨짐","2024-05",5,70
"어금니 레진 깨짐","2025-02",40,400
"어금니 레진 깨짐","2023-11",20,110
"어금니 레진 깨짐","2024-10",40,430
"어금니 레진 깨짐","2025-01",30,410
"어금니 레진 깨짐","2025-05",20,180
"깨진 이","2024-06",10,200
"깨진 이","2024-09",20,210
"깨진 이","2024-03",30,230
"깨진 이","2024-07",20,220
"깨진 이","2023-08",30,250
"깨진 이","2024-08",20,170
"깨진 이","2024-12",30,200
"깨진 이","2024-02",20,240
"깨진 이","2023-10",20,250
"깨진 이","2023-12",30,230
"깨진 이","2024-04",30,200
"깨진 이","2025-06",6,90
"깨진 이","2024-11",20,200
"깨진 이","2025-03",8,110
"깨진 이","2025-04",10,100
"깨진 이","2023-07",40,240
"깨진 이","2023-09",30,200
"깨진 이","2024-01",40,220
"깨진 이","2024-05",30,230
"깨진 이","2025-02",10,120
"깨진 이","2023-11",20,230
"깨진 이","2024-10",20,200
"깨진 이","2025-01",20,150
"깨진 이","2025-05",10,80
"이가 까맣게","2024-06",0,10
"이가 까맣게","2024-09",2,10
"이가 까맣게","2024-03",1,20
"이가 까맣게","2024-07",0,10
"이가 까맣게","2023-08",0,20
"이가 까맣게","2024-08",6,20
"이가 까맣게","2024-12",0,10
"이가 까맣게","2024-02",1,20
"이가 까맣게","2023-10",1,10
"이가 까맣게","2023-12",8,10
"이가 까맣게","2024-04",1,10
"이가 까맣게","2025-06",2,10
"이가 까맣게","2024-11",1,10
"이가 까맣게","2025-03",0,10
"이가 까맣게","2023-07",5,20
"이가 까맣게","2023-09",0,10
"이가 까맣게","2024-01",3,20
"이가 까맣게","2024-05",4,20
"이가 까맣게","2025-02",0,20
"이가 까맣게","2023-11",2,10
"이가 까맣게","2024-10",1,10
"이가 까맣게","2025-01",3,20
"신경치료 후 잇몸 변색","2024-06",1,10
"신경치료 후 잇몸 변색","2024-03",2,10
"신경치료 후 잇몸 변색","2024-07",3,10
"신경치료 후 잇몸 변색","2025-06",6,30
"신경치료 후 잇몸 변색","2025-03",2,10
"신경치료 후 잇몸 변색","2025-04",3,10
"신경치료 후 잇몸 변색","2023-09",5,10
"신경치료 후 잇몸 변색","2024-05",0,10
"신경치료 후 잇몸 변색","2025-05",4,30
"재신경치료","2024-06",350,1580
"재신경치료","2024-09",340,1450
"재신경치료","2024-03",320,1720
"재신경치료","2024-07",380,1620
"재신경치료","2023-08",400,1570
"재신경치료","2024-08",350,1600
"재신경치료","2024-12",310,1450
"재신경치료","2024-02",330,1590
"재신경치료","2023-10",340,1570
"재신경치료","2023-12",330,1650
"재신경치료","2024-04",340,1570
"재신경치료","2025-06",310,1310
"재신경치료","2024-11",370,1400
"재신경치료","2025-03",270,1430
"재신경치료","2025-04",340,1490
"재신경치료","2023-07",340,1510
"재신경치료","2023-09",300,1350
"재신경치료","2024-01",380,1990
"재신경치료","2024-05",370,1790
"재신경치료","2025-02",270,1480
"재신경치료","2023-11",410,1620
"재신경치료","2024-10",330,1500
"재신경치료","2025-01",300,1540
"재신경치료","2025-05",270,1280
"수직치근파절","2024-06",9,20
"수직치근파절","2024-09",7,10
"수직치근파절","2024-03",4,20
"수직치근파절","2024-07",10,8
"수직치근파절","2023-08",4,10
"수직치근파절","2024-08",20,30
"수직치근파절","2024-12",10,20
"수직치근파절","2024-02",5,10
"수직치근파절","2023-10",10,20
"수직치근파절","2023-12",10,10
"수직치근파절","2024-04",5,10
"수직치근파절","2025-06",8,30
"수직치근파절","2024-11",10,10
"수직치근파절","2025-03",10,10
"수직치근파절","2025-04",10,10
"수직치근파절","2023-09",2,20
"수직치근파절","2024-01",8,10
"수직치근파절","2024-05",9,10
"수직치근파절","2025-02",10,10
"수직치근파절","2023-11",8,20
"수직치근파절","2024-10",8,20
"수직치근파절","2025-01",7,10
"수직치근파절","2025-05",10,20
"치아 브릿지 교체","2024-06",9,60
"치아 브릿지 교체","2024-09",10,60
"치아 브릿지 교체","2024-03",7,70
"치아 브릿지 교체","2024-07",9,60
"치아 브릿지 교체","2023-08",7,80
"치아 브릿지 교체","2024-08",8,30
"치아 브릿지 교체","2024-12",10,80
"치아 브릿지 교체","2024-02",7,50
"치아 브릿지 교체","2023-10",10,50
"치아 브릿지 교체","2023-12",8,70
"치아 브릿지 교체","2024-04",10,50
"치아 브릿지 교체","2025-06",10,160
"치아 브릿지 교체","2024-11",10,100
"치아 브릿지 교체","2025-03",50,270
"치아 브릿지 교체","2025-04",30,270
"치아 브릿지 교체","2023-07",5,50
"치아 브릿지 교체","2023-09",7,60
"치아 브릿지 교체","2024-01",3,70
"치아 브릿지 교체","2024-05",10,60
"치아 브릿지 교체","2025-02",30,300
"치아 브릿지 교체","2023-11",9,50
"치아 브릿지 교체","2024-10",10,60
"치아 브릿지 교체","2025-01",10,190
"치아 브릿지 교체","2025-05",20,200
"앞니 잇몸 통증","2024-06",40,480
"앞니 잇몸 통증","2024-09",30,490
"앞니 잇몸 통증","2024-03",60,570
"앞니 잇몸 통증","2024-07",40,480
"앞니 잇몸 통증","2023-08",50,560
"앞니 잇몸 통증","2024-08",30,450
"앞니 잇몸 통증","2024-12",30,450
"앞니 잇몸 통증","2024-02",40,540
"앞니 잇몸 통증","2023-10",40,630
"앞니 잇몸 통증","2023-12",50,550
"앞니 잇몸 통증","2024-04",50,540
"앞니 잇몸 통증","2025-06",40,500
"앞니 잇몸 통증","2024-11",50,450
"앞니 잇몸 통증","2025-03",30,560
"앞니 잇몸 통증","2025-04",50,490
"앞니 잇몸 통증","2023-07",50,610
"앞니 잇몸 통증","2023-09",50,570
"앞니 잇몸 통증","2024-01",50,550
"앞니 잇몸 통증","2024-05",40,480
"앞니 잇몸 통증","2025-02",50,480
"앞니 잇몸 통증","2023-11",50,540
"앞니 잇몸 통증","2024-10",50,470
"앞니 잇몸 통증","2025-01",40,460
"앞니 잇몸 통증","2025-05",40,400
"치근단절제술 통증","2024-06",2,40
"치근단절제술 통증","2024-09",6,60
"치근단절제술 통증","2024-03",7,60
"치근단절제술 통증","2024-07",5,60
"치근단절제술 통증","2023-08",6,70
"치근단절제술 통증","2024-08",6,60
"치근단절제술 통증","2024-12",10,80
"치근단절제술 통증","2024-02",6,40
"치근단절제술 통증","2023-10",8,40
"치근단절제술 통증","2023-12",10,70
"치근단절제술 통증","2024-04",6,50
"치근단절제술 통증","2025-06",20,90
"치근단절제술 통증","2024-11",10,50
"치근단절제술 통증","2025-03",10,200
"치근단절제술 통증","2025-04",20,150
"치근단절제술 통증","2023-07",8,50
"치근단절제술 통증","2023-09",5,30
"치근단절제술 통증","2024-01",5,60
"치근단절제술 통증","2024-05",10,50
"치근단절제술 통증","2025-02",10,160
"치근단절제술 통증","2023-11",10,50
"치근단절제술 통증","2024-10",7,40
"치근단절제술 통증","2025-01",10,120
"치근단절제술 통증","2025-05",10,150
"동탄 보존과 전문의","2024-09",4,10
"동탄 보존과 전문의","2024-07",5,10
"동탄 보존과 전문의","2023-08",0,10
"동탄 보존과 전문의","2024-02",10,20
"동탄 보존과 전문의","2025-06",4,10
"동탄 보존과 전문의","2024-11",2,20
"동탄 보존과 전문의","2025-03",1,10
"동탄 보존과 전문의","2023-07",3,10
"동탄 보존과 전문의","2024-01",1,10
"동탄 보존과 전문의","2024-05",1,10
"동탄 보존과 전문의","2025-02",3,10
"동탄 보존과 전문의","2023-11",5,10
"급성치수염","2024-06",330,2130
"급성치수염","2024-09",290,1950
"급성치수염","2024-03",350,2210
"급성치수염","2024-07",270,1970
"급성치수염","2023-08",410,4070
"급성치수염","2024-08",290,1990
"급성치수염","2024-12",290,1930
"급성치수염","2024-02",390,2340
"급성치수염","2023-10",250,1990
"급성치수염","2023-12",280,1970
"급성치수염","2024-04",290,1930
"급성치수염","2025-06",250,1450
"급성치수염","2024-11",300,1910
"급성치수염","2025-03",250,1870
"급성치수염","2025-04",250,1520
"급성치수염","2023-07",250,2000
"급성치수염","2023-09",320,2480
"급성치수염","2024-01",460,3140
"급성치수염","2024-05",300,2190
"급성치수염","2025-02",300,2090
"급성치수염","2023-11",240,1760
"급성치수염","2024-10",290,1990
"급성치수염","2025-01",310,3220
"급성치수염","2025-05",220,1550
"아랫니 브릿지","2024-06",5,80
"아랫니 브릿지","2024-09",10,70
"아랫니 브릿지","2024-03",3,60
"아랫니 브릿지","2024-07",10,60
"아랫니 브릿지","2023-08",10,80
"아랫니 브릿지","2024-08",7,60
"아랫니 브릿지","2024-12",10,40
"아랫니 브릿지","2024-02",2,70
"아랫니 브릿지","2023-10",6,50
"아랫니 브릿지","2023-12",3,70
"아랫니 브릿지","2024-04",7,70
"아랫니 브릿지","2025-06",10,70
"아랫니 브릿지","2024-11",8,60
"아랫니 브릿지","2025-03",10,40
"아랫니 브릿지","2025-04",7,50
"아랫니 브릿지","2023-07",10,60
"아랫니 브릿지","2023-09",8,40
"아랫니 브릿지","2024-01",9,40
"아랫니 브릿지","2024-05",10,90
"아랫니 브릿지","2025-02",6,40
"아랫니 브릿지","2023-11",10,60
"아랫니 브릿지","2024-10",6,50
"아랫니 브릿지","2025-01",6,60
"아랫니 브릿지","2025-05",8,60
"치근단형성술","2024-06",10,50
"치근단형성술","2024-09",10,20
"치근단형성술","2024-03",10,20
"치근단형성술","2024-07",20,40
"치근단형성술","2023-08",10,30
"치근단형성술","2024-08",10,10
"치근단형성술","2024-12",10,50
"치근단형성술","2024-02",10,20
"치근단형성술","2023-10",20,40
"치근단형성술","2023-12",20,70
"치근단형성술","2024-04",7,30
"치근단형성술","2025-06",20,40
"치근단형성술","2024-11",10,90
"치근단형성술","2025-03",4,10
"치근단형성술","2025-04",20,20
"치근단형성술","2023-07",8,20
"치근단형성술","2023-09",20,30
"치근단형성술","2024-01",10,10
"치근단형성술","2024-05",20,30
"치근단형성술","2025-02",10,10
"치근단형성술","2023-11",50,140
"치근단형성술","2024-10",10,70
"치근단형성술","2025-01",10,8
"치근단형성술","2025-05",10,20
"치과 엔도","2024-06",40,230
"치과 엔도","2024-09",30,200
"치과 엔도","2024-03",50,270
"치과 엔도","2024-07",60,300
"치과 엔도","2023-08",30,180
"치과 엔도","2024-08",40,220
"치과 엔도","2024-12",40,190
"치과 엔도","2024-02",40,270
"치과 엔도","2023-10",40,170
"치과 엔도","2023-12",20,190
"치과 엔도","2024-04",50,240
"치과 엔도","2025-06",40,140
"치과 엔도","2024-11",40,200
"치과 엔도","2025-03",40,270
"치과 엔도","2025-04",30,230
"치과 엔도","2023-07",40,250
"치과 엔도","2023-09",20,190
"치과 엔도","2024-01",50,320
"치과 엔도","2024-05",40,230
"치과 엔도","2025-02",40,250
"치과 엔도","2023-11",40,170
"치과 엔도","2024-10",30,220
"치과 엔도","2025-01",30,270
"치과 엔도","2025-05",20,160
"내려간 잇몸","2024-06",10,150
"내려간 잇몸","2024-09",10,140
"내려간 잇몸","2024-03",10,130
