Expression,Count
썪어,1
씌워는데,1
소독,1
구내염,1
얼마동안,1
후영증,1
술은,1
부러지고,1
났어요ㅜ,1
술을,1
해야하나,1
특정,1
생겼어요,1
서서히,1
녹아,1
없어진다,1
약재,1
넘어져,1
방향,1
로단단한걸씹은후,1
유림,1
유아,1
없어지는,1
찍었는데,1
잇몸이,1
뿌옇게,1
나와요,1
여드름처럼,1
도중,1
볼록,1
또는,1
앜니,1
앞리,1
쒸우는,1
인몸,1
테이킹,1
내려앉ㅇ.ㅁ,1
앞티,1
내려않음,1
삐뚤어짐,1
깊은,1
실선,1
맨끝,1
되어,1
자기치아보전,1
부부치과,1
해결,1
카레,1
측면,1
보여,1
퇴추,1
멍듬,1
드러나면,1
벌너짐,1
정중이개,1
일산,1
발어짐,1
앞ㅇ니,1
막혔을때,1
드러남,1
결손,1
란ㅌ,1
동탐역,1
내려앉으,1
근단,1
유격,1
의한,1
성형술,1
인공뼈,1
확율,1
27번,1
하남,1
효과,1
타이트,1
삐둘어진곳,1
못하나,1
성장,1
만들어졌을때,1
apexipcat,1
형성슐,1
연장,1
형성,1
열린,1
rmseks,1
gudtjdtnf,1
수산화,1
apexcificatt,1
먼저빼는,1
잇몸뼈,1
녹음,1
겉보기에,1
어버먼트,1
풀림,1
brd,1
파일,1
노화로,1
이내려와,1
틈이,1
긁어,1
버철,1
있으면,1
기둥,1
이랑똑같이안,1
뺀것,1
파괴된,1
뼈가,1
파괴,1
보인다,1
이상해,1
제르코니아,1
두개연결쉬우는거,1
주나,1
재재,1
구개측,1
부천,1
냄새,1
이상한,1
구분,1
조각,1
접착,1
잘때우는,1
베스트,1
붙이기,1
때짐,1
계획서,1
표시,1
알아보는,1
레짐,1
글래스,1
오노머,1
드러나는현상,1
시멘트,1
x레이,1
canal,1
mesiobuccal,1
내돈내산,1
3d,1
mb,1
약자,1
의정부,1
급설,1
복합,1
상아징,1
타진,1
반응,1
아기,1
누출,1
팽창,1
수축,1
crown,1
adaptat,1
리앤도,1
치고ㅓ,1
점막염,1
염으로,1
를해야만잇몸뼈가생기나요,1
영어,1
윤민저,1
리젼,1
인레니,1
