searchQuery,labels(json),stage
앞니 잇몸 통증,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""통증"", ""label"": ""증상:통증""}]",2단계:정보탐색
치근단절제술 통증,"[{""matched_expression"": ""치근단절제술"", ""label"": ""진료:치근단절제술""}, {""matched_expression"": ""통증"", ""label"": ""증상:통증""}]",2단계:정보탐색
동탄 보존과 전문의,"[{""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""전문의"", ""label"": ""진료과:전문의""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
어금니 금이 간 경우,"[{""matched_expression"": ""금이 간"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""경우"", ""label"": ""치료:케이스""}]",2단계:정보탐색
급성치수염,"[{""matched_expression"": ""급성치수염"", ""label"": ""증상:염증/고름""}]",2단계:정보탐색
아랫니 브릿지,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""아랫니"", ""label"": ""치아위치:아랫니""}]",2단계:정보탐색
치근단형성술,"[{""matched_expression"": ""형성술"", ""label"": ""진료:형성술""}, {""matched_expression"": ""치근단"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
치과 엔도,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""엔도"", ""label"": ""진료:신경치료""}]",2단계:정보탐색
내려간 잇몸,"[{""matched_expression"": ""내려간"", ""label"": ""증상:퇴축""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}]",2단계:정보탐색
동탄 앞니 레진,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
치과 치질,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""치질"", ""label"": ""질병:치질""}]",2단계:정보탐색
어린이 실란트,"[{""matched_expression"": ""어린이"", ""label"": ""대상:소아""}, {""matched_expression"": ""실란트"", ""label"": ""진료:실란트""}]",2단계:정보탐색
동탄 보존치과,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""보존"", ""label"": ""진료과:보존과""}]",3단계:지역탐색
송곳니 충치 레진,"[{""matched_expression"": ""송곳니"", ""label"": ""치아부위:송곳니""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
실활치미백,"[{""matched_expression"": ""실활치미백"", ""label"": ""진료:치아미백""}]",2단계:정보탐색
앞니벌어짐,"[{""matched_expression"": ""벌어짐"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",2단계:정보탐색
다이아스테마,"[{""matched_expression"": ""다이아스테마"", ""label"": ""증상:치아간격/벌어짐""}]",2단계:정보탐색
동탄 미세현미경 치과,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
오버덴쳐,"[{""matched_expression"": ""오버덴쳐"", ""label"": ""진료:보철""}]",2단계:정보탐색
치수복조술,"[{""matched_expression"": ""복조술"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""치수"", ""label"": ""치아해부학:치수""}]",2단계:정보탐색
동탄 치과 미백,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""미백"", ""label"": ""진료:치아미백""}]",3단계:지역탐색
교정 치아 변색,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}, {""matched_expression"": ""교정"", ""label"": ""진료:교정""}]",2단계:정보탐색
아말감 2차충치,"[{""matched_expression"": ""아말감"", ""label"": ""진료:레진""}, {""matched_expression"": ""2차"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",3단계:지역탐색
동탄 잇몸치료,"[{""matched_expression"": ""잇몸치료"", ""label"": ""진료:잇몸치료""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
함입,"[{""matched_expression"": ""함입"", ""label"": ""치아형태:함입""}]",2단계:정보탐색
재신경치료기간,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""기간"", ""label"": ""의도:과정문의""}]",2단계:정보탐색
앞니 끝 깨짐,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""깨짐"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
신경치료 변색,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}]",2단계:정보탐색
임플란트 픽스쳐 파절,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""픽스쳐"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
치수염,"[{""matched_expression"": ""치수염"", ""label"": ""증상:염증/고름""}]",2단계:정보탐색
동탄 치과 보존과,"[{""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 보존과 치과,"[{""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
대학병원 재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""대학병원"", ""label"": ""장소:의료기관""}]",2단계:정보탐색
신경치료 잇몸 변색,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}]",2단계:정보탐색
치아 옆면 레진,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}, {""matched_expression"": ""옆면"", ""label"": ""치아부위:측면""}]",2단계:정보탐색
내이튼 치과,"[{""matched_expression"": ""내이튼"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",4단계:병원인지
동탄 치근단절제술,"[{""matched_expression"": ""치근단절제술"", ""label"": ""진료:치근단절제술""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
재신경치료 후기,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""후기"", ""label"": ""의도:후기문의""}]",2단계:정보탐색
인레이 속 충치,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
신경치료 염증,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}]",2단계:정보탐색
네이튼치과,"[{""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}]",4단계:병원인지
잔존치질,"[{""matched_expression"": ""잔존"", ""label"": ""상태:잔존""}, {""matched_expression"": ""치질"", ""label"": ""질병:치질""}]",2단계:정보탐색
수평치근파절,"[{""matched_expression"": ""수평"", ""label"": ""방향:수평""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""치근"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
어른유치,"[{""matched_expression"": ""유치"", ""label"": ""대상:소아""}, {""matched_expression"": ""어른"", ""label"": ""대상:성인""}]",2단계:정보탐색
치아끝깨짐,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""깨짐"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
동탄역 내이튼치과,"[{""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""동탄역"", ""label"": ""지역:동탄역""}]",4단계:병원인지
내이튼치과 재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}]",4단계:병원인지
동탄 치과보존과,"[{""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
root crack,"[{""matched_expression"": ""crack"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""root"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
동탄내이튼치과재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",4단계:병원인지
임플란트 후 흔들림,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""흔들"", ""label"": ""증상:흔들림""}]",2단계:정보탐색
pulptomy,"[{""matched_expression"": ""pulptomy"", ""label"": ""진료:치수절단술/근첨와동""}]",2단계:정보탐색
치아 홈메우기,"[{""matched_expression"": ""홈메우기"", ""label"": ""진료:충치""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}]",2단계:정보탐색
상악동 거상술,"[{""matched_expression"": ""거상술"", ""label"": ""진료:거상술""}, {""matched_expression"": ""상악동"", ""label"": ""진료:상악동거상술""}]",2단계:정보탐색
발치후 즉시 식립 임플란트,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""즉시"", ""label"": ""시간:긴급/당일""}, {""matched_expression"": ""발치"", ""label"": ""진료:발치""}, {""matched_expression"": ""식립"", ""label"": ""진료:임플란트""}]",2단계:정보탐색
큐레이,"[{""matched_expression"": ""큐레이"", ""label"": ""진료:큐레이션""}]",2단계:정보탐색
치과 mb2,"[{""matched_expression"": ""mb2"", ""label"": ""치아해부학:MB2""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",2단계:정보탐색
전치부 브릿지,"[{""matched_expression"": ""전치부"", ""label"": ""위치:앞니""}, {""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}]",2단계:정보탐색
골드인레이 파절,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""골드"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
흔들리는 치아 신경치료,"[{""matched_expression"": ""흔들리는"", ""label"": ""증상:흔들림""}, {""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}]",2단계:정보탐색
동탄 치과,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
diastema,"[{""matched_expression"": ""diastema"", ""label"": ""증상:치아간격/벌어짐""}]",2단계:정보탐색
동탄 치과 레진,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
화성 재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""화성"", ""label"": ""지역:화성""}]",3단계:지역탐색
송곳니충치,"[{""matched_expression"": ""송곳니"", ""label"": ""치아부위:송곳니""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
동탄 인레이,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
틀니 의료보험,"[{""matched_expression"": ""의료"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""틀니"", ""label"": ""진료:보철""}, {""matched_expression"": ""보험"", ""label"": ""결제/보험:보험""}]",2단계:정보탐색
이가 깨졌어요 레진,"[{""matched_expression"": ""깨졌어요"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""이가"", ""label"": ""구강:치아""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",2단계:정보탐색
치외치,"[{""matched_expression"": ""치외치"", ""label"": ""치아이상:치외치""}]",2단계:정보탐색
잇몸에 물집,"[{""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""물집"", ""label"": ""증상:염증/고름""}]",2단계:정보탐색
동탄 치아보존과,"[{""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
소구치 신경치료,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}]",2단계:정보탐색
대학병원 잇몸치료,"[{""matched_expression"": ""대학병원"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""잇몸치료"", ""label"": ""진료:잇몸치료""}]",2단계:정보탐색
앞니 뼈이식,"[{""matched_expression"": ""뼈이식"", ""label"": ""진료:뼈이식""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",2단계:정보탐색
치과 포스트,"[{""matched_expression"": ""포스트"", ""label"": ""진료:포스트""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",2단계:정보탐색
교정 후 미백,"[{""matched_expression"": ""교정"", ""label"": ""진료:교정""}, {""matched_expression"": ""미백"", ""label"": ""진료:치아미백""}]",2단계:정보탐색
아랫니 유치,"[{""matched_expression"": ""아랫니"", ""label"": ""치아위치:아랫니""}, {""matched_expression"": ""유치"", ""label"": ""대상:소아""}]",2단계:정보탐색
동탄 보존과전문의,"[{""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""전문의"", ""label"": ""진료과:전문의""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
어금니 크랙,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""크랙"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
동탄 치과 미세현미경,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
mb2,"[{""matched_expression"": ""mb2"", ""label"": ""치아해부학:MB2""}]",2단계:정보탐색
어금니 충치 레진,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
내이튼,"[{""matched_expression"": ""내이튼"", ""label"": ""병원명:내이튼""}]",4단계:병원인지
동탄역 치과,"[{""matched_expression"": ""동탄역"", ""label"": ""지역:동탄역""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",3단계:지역탐색
임플란트 2개월,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""2개월"", ""label"": ""시간:기간""}]",2단계:정보탐색
대학병원 잇몸염증,"[{""matched_expression"": ""대학병원"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}]",2단계:정보탐색
재신경치료 과정,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""과정"", ""label"": ""의도:과정문의""}]",2단계:정보탐색
인레이,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}]",2단계:정보탐색
치과 intrusion,"[{""matched_expression"": ""intrusion"", ""label"": ""증상:치아변위/함입""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",2단계:정보탐색
앞니 외상,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""외상"", ""label"": ""증상:외상""}]",2단계:정보탐색
치아 브릿지 잇몸,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}]",2단계:정보탐색
치아 괴사,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""괴사"", ""label"": ""질병:치수괴사""}]",2단계:정보탐색
크라운 잇몸 내려앉음,"[{""matched_expression"": ""내려앉음"", ""label"": ""증상:퇴축""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}]",2단계:정보탐색
치아 흔들림,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""흔들"", ""label"": ""증상:흔들림""}]",2단계:정보탐색
앞니 신경치료,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",2단계:정보탐색
신경치료,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}]",2단계:정보탐색
인레이 2차충치,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""2차"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",3단계:지역탐색
신경죽은 앞니,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""신경"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""죽은"", ""label"": ""질병:치수괴사""}]",2단계:정보탐색
어금니 인레이,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}]",2단계:정보탐색
상악동 거상술 술식,"[{""matched_expression"": ""거상술"", ""label"": ""진료:거상술""}, {""matched_expression"": ""상악동"", ""label"": ""진료:상악동거상술""}, {""matched_expression"": ""술식"", ""label"": ""진료:술식""}]",2단계:정보탐색
치아 옆면 충치 레진,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""옆면"", ""label"": ""치아부위:측면""}]",2단계:정보탐색
잇몸염증 신경치료,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}]",2단계:정보탐색
동탄 내이튼 치과,"[{""matched_expression"": ""내이튼"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",4단계:병원인지
동탄치과,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
어금니 수직파절,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""수직"", ""label"": ""방향:수직""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
동탄 레진,"[{""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
동탄 앞니 임플란트,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
아래 어금니 통증,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""통증"", ""label"": ""증상:통증""}, {""matched_expression"": ""아래"", ""label"": ""치아위치:아랫니""}]",2단계:정보탐색
금간 이 치료,"[{""matched_expression"": ""치료"", ""label"": ""진료:치료""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
신경치료 후 잇몸,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}]",2단계:정보탐색
잇몸 뿌리 염증,"[{""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""뿌리"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
아랫니브릿지,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""아랫니"", ""label"": ""치아위치:아랫니""}]",2단계:정보탐색
앞니 신경치료 후 변색,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}]",2단계:정보탐색
임플란트 픽스쳐,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""픽스쳐"", ""label"": ""진료:임플란트""}]",2단계:정보탐색
동탄 큐레이,"[{""matched_expression"": ""큐레이"", ""label"": ""진료:큐레이션""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
내이튼치과 앞니 크라운,"[{""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",4단계:병원인지
금간 어금니 치료,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
재신경치료 대학병원,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""대학병원"", ""label"": ""장소:의료기관""}]",2단계:정보탐색
치수괴사 신경치료,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""치수괴사"", ""label"": ""질병:치수괴사""}]",2단계:정보탐색
